rep_genome	members	genomes_in_tree	species
LC814777	LC814777,LC814768,LC814771,LC814780,LC814783,LC814789,NC_058701,NC_058702,NC_058703,NC_058704,MW679506,MW679507,MW679508,MW679510,MK372941	MW679507	Skeletonema tropicum
LC855054	LC855054	LC855054	Pyropia acanthophora
LC855055	LC855055	LC855055	Pyropia pseudolinearis
LC855056	LC855056,LC855059,LC855062,OR123498,MT876197,MK695880,KC517072,NC_007932,AP006715	KC517072	Neopyropia yezoensis
LC855057	LC855057	LC855057	Phycocalidia tanegashimensis
LC855058	LC855058	LC855058	Pyropia kanakaensis
LC855060	LC855060,NC_021189,KC464603	KC464603	Neoporphyra haitanensis
LC855061	LC855061	LC855061	Neoporphyra dentata
LC855063	LC855063	LC855063	Porphyra tenuipedalis
LN810505	LN810505,NC_026796	NC_026796	Tydemania expeditionis
LT622862	LT622862,LT622876,NC_031654	LT622876	Helminthora furcellata
LT622863	LT622863,NC_031655	LT622863	Dermonema virens
LT622864	LT622864,NC_031656	NC_031656	Dichotomaria marginata
LT622865	LT622865,NC_031657	NC_031657	Galaxaura rugosa
LT622866	LT622866,NC_031658	LT622866	Helminthocladia australis
LT622867	LT622867,NC_031659	LT622867	Hommersandiophycus borowitzkae
LT622868	LT622868,NC_031660	LT622868	Izziella formosana
LT622869	LT622869,LT622877,NC_031661,NC_031667	LT622869	Liagora harveyana
LT622870	LT622870,NC_031662	NC_031662	Liagoropsis maxima
LT622871	LT622871	LT622871	Nemalion sp. H.1444
LT622872	LT622872,NC_031663	NC_031663	Neoizziella asiatica
LT622873	LT622873,NC_031664	NC_031664	Scinaia undulata
LT622874	LT622874,NC_031665	NC_031665	Titanophycus setchellii
LT622875	LT622875,NC_031666	LT622875	Yamadaella caenomyce
LT622878	LT622878,NC_031668	NC_031668	Trichogloeopsis pedicellata
MF083688	MF083688,MF083689,MF083690,MF083691,MF083692,FJ423446,NC_005353,BK000554	MF083692	Chlamydomonas reinhardtii
MF101412	MF101412	MF101412	Laurencieae sp.
MF101414	MF101414	MF101414	Polysiphonia sp.
MF101429	MF101429	MF101429	Chondria sp. (in: red algae)
MF101431	MF101431	MF101431	Chondria sp. (in: red algae)
MF101435	MF101435	MF101435	Polysiphonia sertularioides
MF101451	MF101451	MF101451	Chondria sp. (in: red algae)
MF101453	MF101453	MF101453	Palisada sp.
MF101456	MF101456	MF101456	Polysiphonia sp.
MF167424	MF167424	MF167424	Glaucocystis sp. BBH
MF276978	MF276978	MF276978	Pediastrum angulosum
MF276979	MF276979,MF276981	MF276979	Pediastrum duplex
MF401423	MF401423,NC_023133	MF401423	Porphyridium purpureum
MG264610	MG264610	MG264610	Paulinella longichromatophora
MG552671	MG552671	MG552671	Picochlorum sp. 'soloecismus'
MG755791	MG755791	MG755791	Proboscia sp.
MG755795	MG755795	MG755795	Licmophora sp.
MG755797	MG755797	MG755797	Eunotogramma sp.
MG778533	MG778533	MG778533	Uronema sp. CCAP 334/1
MH113811	MH113811,NC_014287,GU591327	NC_014287	Durinskia baltica
MH161344	MH161344	MH161344	Eudorina elegans
MH161345	MH161345	MH161345	Eudorina cylindrica
MH267732	MH267732	MH267732	Eudorina sp. NIES-3984
MH281627	MH281627	MH281627	Lithothamnion sp.
MH281629	MH281629	MH281629	Renouxia sp.
MH281630	MH281630	MH281630	Rhodogorgon sp.
MH356727	MH356727	MH356727	Seminavis robusta
MH511733	MH511733	MH511733	Colemanosphaera charkowiensis
MH590838	MH590838	MH590838	Chlamydomonas sp. UWO 241
MH591102	MH591102	MH591102	Boodleopsis sp. FL1161
MH591113	MH591113	MH591113	Udotea sp. TZ0819
MH795128	MH795128	MH795128	Synura petersenii
MH795129	MH795129	MH795129	Synura sphagnicola
MH795132	MH795132	MH795132	Neotessella volvocina
MH898669	MH898669	MH898669	Lepocinclis tripteris
MK085988	MK085988,MK085990,MK085996	MK085996	Chloroparvula sp. RCC4572
MK085997	MK085997	MK085997	Chloropicon sp. RCC4434
MK408749	MK408749,NC_054284,MT948112	MK408749	Blidingia minima
MK641509	MK641509	MK641509	Kumanoa mahlacensis
MK792749	MK792749	MK792749	Caulerpa serrulata
MK792750	MK792750	MK792750	Caulerpa sertularioides
MK798155	MK798155	MK798155	Cryptophyta sp. CCMP2293
MK895950	MK895950	MK895950	Pediastrum duplex
MK995333	MK995333	MK995333	Asterarcys sp. GP-2019
MN102114	MN102114,NC_042250,MG778185	NC_042250	Chlorosarcinopsis eremi
MN128434	MN128434,MH983006	MN128434,MH983006	Auxenochlorella pyrenoidosa
MN181444	MN181444,FP102343,FP102296,NC_013498	FP102296	Ectocarpus siliculosus
MN240356	MN240356	MN240356	Betaphycus gelatinus
MN240357	MN240357	MN240357	Eucheuma denticulatum
MN240358	MN240358	MN240358	Kappaphycus striatus
MN276191	MN276191	MN276191	Nanofrustulum shiloi
MN649872	MN649872	MN649872	Micractinium pusillum
MN659374	MN659374	MN659374	Uronema sp. FACHB-2429
MN699101	MN699101	MN699101	Stigeoclonium sp. FACHB-2430
MN701588	MN701588	MN701588	Chaetophora sp. FACHB-2423
MN701985	MN701985	MN701985	Chaetophoropsis cf. attenuata FACHB-2291
MN701986	MN701986	MN701986	Chaetophoropsis cf. attenuata FACHB-2291
MN701987	MN701987	MN701987	Chaetophoropsis cf. attenuata FACHB-2291
MN701988	MN701988	MN701988	Chaetophoropsis cf. attenuata FACHB-2291
MN701989	MN701989	MN701989	Chaetophoropsis cf. attenuata FACHB-2291
MN701990	MN701990	MN701990	Chaetophoropsis cf. attenuata FACHB-2291
MN701991	MN701991		Chaetophoropsis cf. attenuata FACHB-2291
MN709220	MN709220,NC_037007,MG677935	MN709220	Haematococcus lacustris
MN853876	MN853876	MN853876	Codium fragile
MN894287	MN894287,KF554427	MN894287	Micractinium singularis
MN905507	MN905507	MN905507	Batrachospermum sp.
MN909954	MN909954,NC_031171,KX284714	NC_031171	Thorea hispida
MN937452	MN937452,NC_008588,EF067920	MN937452	Phaeodactylum tricornutum
MT040697	MT040697	MT040697	Zygnema circumcarinatum
MT117916	MT117916	MT117916	Pterocladia lucida
MT117918	MT117918		Pterocladiophila hemisphaerica
MT211884	MT211884,MT211885,MT211886,MT211887,NC_042901,MK598845,NC_041636,MK408748	MT211886	Corallina officinalis
MT271684	MT271684,MN201587,NC_039377,MG753774	MN201587	Caulerpa lentillifera
MT364368	MT364368	MT364368	Oedocladium prescottii
MT364369	MT364369,NC_031510,KX507373	KX507373	Oedocladium carolinianum
MT383637	MT383637,NC_008589,EF067921	EF067921	Thalassiosira pseudonana
MT471323	MT471323,MT471324,MT471325,MT471326,MT471327,MT471328,MT471329,MT471330,MT471331,MT471332,MT471333,MT471334,NC_021637,KC900889	MT471333	Phaeocystis globosa
MT742551	MT742551	MT742551	Nitzschia anatoliensis
MT872223	MT872223,MT872224,MT872225,MT872226,KJ410684,NC_022259,NC_022260,NC_022262,KC598085,KC598087,KC598089	MT872224,KJ410684	Nannochloropsis limnetica
MT896721	MT896721,NC_059930,MW561225	MT896721	Coscinodiscus granii
MW250871	MW250871	MW250871	Oedogonium dentireticulatum
MW250872	MW250872	MW250872	Oedogonium crispum
MW250873	MW250873	MW250873	Oedogonium sp. 260-2_chl
MW250874	MW250874,NC_011031,EU677193	EU677193	Oedogonium cardiacum
MW250875	MW250875	MW250875	Oedogonium sp. HN1801B
MW323067	MW323067,NC_030358,KU646493	MW323067	Coleochaete orbicularis
MW344287	MW344287,MW353781,MW548841,MT916929,NC_050739,KX595275,NC_043860,MK069584	NC_043860	Ulva mutabilis
MW408731	MW408731,NC_042485,MK085989	MK085989	Chloropicon mariensis
MW543060	MW543060,NC_053616	MW543060	Ulva rigida
MW556321	MW556321	MW556321	Nitellopsis obtusa
MW592700	MW592700	MW592700	Thalassiosira sp.
MW645082	MW645082,MW645084	MW645084	Haslea silbo
MW660365	MW660365,NC_053621,MW004650	MW660365	Chaetoceros sp. DS1
MW675662	MW675662	MW675662	Sahlingia subintegra
MW675663	MW675663	MW675663	Sahlingia subintegra
MW675665	MW675665,MW675684	MW675684	Porphyrostromium boryanum
MW675666	MW675666	MW675666	Porphyrostromium boryanum
MW675667	MW675667	MW675667	Porphyrostromium japonicum
MW675668	MW675668	MW675668	Porphyropsis coccinea
MW675669	MW675669	MW675669	Porphyropsis coccinea
MW675670	MW675670	MW675670	Porphyropsis coccinea
MW675673	MW675673	MW675673	Erythrotrichia welwitschii
MW675674	MW675674	MW675674	Erythrotrichia welwitschii
MW675675	MW675675	MW675675	Erythrotrichia longistipitata
MW675676	MW675676	MW675676	Erythrotrichia longistipitata
MW675677	MW675677	MW675677	Erythrotrichia foliiformis
MW675678	MW675678	MW675678	Erythrotrichia foliiformis
MW675679	MW675679	MW675679	Erythrotrichia carnea
MW675680	MW675680	MW675680	Erythrotrichia carnea
MW675681	MW675681	MW675681	Erythrocladia irregularis
MW675682	MW675682	MW675682	Erythrocladia irregularis
MW675683	MW675683	MW675683	Erythrocladia irregularis
MW752443	MW752443,NC_025314,KJ958485	KJ958485	Conticribra weissflogii
MW810349	MW810349	MW810349	Erythrocystis saccata
MW845774	MW845774,MZ352931	MW845774	Chaetoceros muellerii
MW845775	MW845775	MW845775	Chaetoceros costatus
MW845776	MW845776	MW845776	Chaetoceros socialis
MW845777	MW845777,MW845780	MW845777,MW845780	Chaetoceros pseudocurvisetus
MW845779	MW845779	MW845779	Chaetoceros laevisporus
MW853965	MW853965	MW853965	Pseudo-nitzschia hainanensis
MW900257	MW900257,MT920676,MT577052,MK948100,MK948102,NC_001865	MW900257	Chlorella vulgaris
MW971520	MW971520	MW971520	Nitzschia inconspicua
MZ156027	MZ156027	MZ156027	Akkesiphycus lubricus
MZ156028	MZ156028	MZ156028	Protohalopteris sp.
MZ156030	MZ156030	MZ156030	Pseudochorda nagaii
MZ156039	MZ156039	MZ156039	Egregia menziesii
MZ158703	MZ158703	MZ158703	Ulva intestinalis
MZ334625	MZ334625		Trentepohlia sp. YN1242
MZ334626	MZ334626		Trentepohlia sp. YN1317
MZ336050	MZ336050		Gracilaria changii
MZ336051	MZ336051,MF401963,NC_029860,KT266788	MZ336051	Agarophyton chilense
MZ336057	MZ336057,NC_046041,MN053318	MZ336057	Gracilaria edulis
MZ336066	MZ336066,NC_039142,MH396012	MZ336066	Hydropuntia rangiferina
MZ336067	MZ336067,NC_023785,KF861575	MZ336067	Gracilaria salicornia
MZ336073	MZ336073,NC_031149,KX284722,NC_029644,KU179794,KP330491	NC_031149	Gracilariopsis chorda
MZ365053	MZ365053	MZ365053	Climaconeis sp.
MZ365054	MZ365054	MZ365054	Climaconeis cf. scalaris
MZ365055	MZ365055	MZ365055	Climaconeis cf. scalaris
MZ520768	MZ520768	MZ520768	Schizostauron trachyderma
MZ681957	MZ681957,KJ569775	MZ681957	Cyanidioschyzonaceae sp. 1
MZ681958	MZ681958	MZ681958	Cyanidiaceae sp.
MZ681962	MZ681962	MZ681962	Boldiaceae sp.
NC_000925	NC_000925,PPU38804		Porphyra purpurea
NC_000926	NC_000926	NC_000926	Guillardia theta
NC_002652	NC_002652	NC_002652	Euglena longa
NC_006137	NC_006137,AY673996	AY673996	Gracilaria tenuistipitata
NC_008099	NC_008099,DQ291132	DQ291132	Oltmannsiellopsis viridis
NC_008100	NC_008100,DQ398104		Helicosporidium sp. ex Simulium jonesi
NC_008114	NC_008114,AY835431	NC_008114	Tupiella akineta
NC_008116	NC_008116,AY958085	NC_008116	Staurastrum punctulatum
NC_008117	NC_008117,AY958086	AY958086	Zygnema circumcarinatum
NC_008372	NC_008372,DQ630521	DQ630521	Stigeoclonium helveticum
NC_008408	NC_008408,DQ851108	DQ851108	Bigelowiella natans
NC_009573	NC_009573,EF508371	NC_009573	Rhodomonas salina
NC_009681	NC_009681,EF506945	EF506945	Pleurastrum terricola
NC_011600	NC_011600,EU912438	EU912438	Vaucheria litorea
NC_012101	NC_012101,FJ493497	NC_012101	Monomastix sp. OKE-1
NC_012575	NC_012575,FJ858267	NC_012575	Micromonas commoda
NC_012898	NC_012898,GQ231541	NC_012898	Aureococcus anophagefferens
NC_012903	NC_012903,GQ231542	NC_012903	Aureoumbra lagunensis
NC_012978	NC_012978,FJ968741	FJ968741	Parachlorella kessleri
NC_014267	NC_014267,GU591328	GU591328	Kryptoperidinium foliaceum
NC_014340	NC_014340,HM222967	NC_014340	Chromera velia
NC_014345	NC_014345,HM222968	HM222968	Chromerida sp. RM11
NC_014346	NC_014346,GU196268	GU196268	Floydiella terrestris
NC_014808	NC_014808,GU323224	GU323224	Thalassiosira oceanica
NC_015084	NC_015084,HQ693844	NC_015084	Coccomyxa subellipsoidea
NC_015645	NC_015645,HQ700713	HQ700713	Schizomeris leibleinii
NC_016703	NC_016703,JN117275	JN117275	Phaeocystis antarctica
NC_016731	NC_016731,JQ088178	NC_016731	Ulnaria acus
NC_016732	NC_016732,GQ250046	GQ250046	Dunaliella salina
NC_016733	NC_016733,FJ968740	NC_016733	Pedinomonas minor
NC_018569	NC_018569,JX402620	JX402620	Trebouxiophyceae sp. MX-AZ01
NC_020018	NC_020018,JX457480	NC_020018	Monomorphina aenigmatica
NC_020438	NC_020438,AP012494	AP012494	Gonium pectorale
NC_020460	NC_020460,JQ237893	NC_020460	Euglena viridis
NC_021075	NC_021075,KC153978	NC_021075	Calliarthron tuberculosum
NC_021109	NC_021109,JX977846	NC_021109	Pleodorina starrii
NC_024080	NC_024080,KC509520	NC_024080	Asterionellopsis glacialis
NC_024081	NC_024081,KC509521	KC509521	Coscinodiscus radiatus
NC_024082	NC_024082,KC509522	NC_024082	Cylindrotheca closterium
NC_024083	NC_024083,KC509523	NC_024083	Didymosphenia geminata
NC_024084	NC_024084,KC509524	NC_024084	Leptocylindrus danicus
NC_024154	NC_024154,KC684276	KC684276	Euglenaformis proxima
NC_024169	NC_024169,KJ461682	KJ461682	Mesotaenium endlicherianum
NC_024665	NC_024665,KJ700459	KJ700459	Galdieria sulphuraria
NC_024811	NC_024811	NC_024811	Bathycoccus prasinos
NC_024817	NC_024817,KJ746598	KJ746598	Prasinoderma coloniale
NC_024828	NC_024828,KJ746599	NC_024828	Picocystis salinarum
NC_024829	NC_024829,KJ746600	KJ746600	Nephroselmis astigmatica
NC_024928	NC_024928,KF733443	KF733443	Eunotia naegelii
NC_025311	NC_025311,KJ958482	NC_025311	Rhizosolenia imbricata
NC_025312	NC_025312,KJ958483	KJ958483	Roundia cardiophora
NC_025313	NC_025313,KJ958484	NC_025313	Cerataulina daemon
NC_025524	NC_025524,KM462860	NC_025524	Symbiochloris handae
NC_025525	NC_025525,KM462861	NC_025525	Myrmecia israelensis
NC_025526	NC_025526,KM462863	NC_025526	Watanabea reniformis
NC_025527	NC_025527,KM462864	KM462864	Stichococcus bacillaris
NC_025528	NC_025528,KM462865	NC_025528	Edaphochlorella mirabilis
NC_025529	NC_025529,KM462866	KM462866	Pseudochlorella signiensis
NC_025530	NC_025530,KM462867	KM462867	Pedinomonas tuberculata
NC_025531	NC_025531,KM462868	NC_025531	Koliella longiseta
NC_025532	NC_025532,KM462869	NC_025532	Parietochloris pseudoalveolaris
NC_025533	NC_025533,KM462871	KM462871	Lobosphaera incisa
NC_025534	NC_025534,KM462872	KM462872	Xylochloris irregularis
NC_025535	NC_025535,KM462873	NC_025535	Neocystis brevis
NC_025536	NC_025536,KM462874	NC_025536	Koliella corcontica
NC_025537	NC_025537,KM462876	NC_025537	Microthamnion kuetzingianum
NC_025538	NC_025538,KM462877	NC_025538	Gloeotilopsis sterilis
NC_025539	NC_025539,KM462878	NC_025539	Choricystis parasitica
NC_025540	NC_025540,KM462879	KM462879	Paradoxia multiseta
NC_025541	NC_025541,KM462880	KM462880	Binuclearia lauterbornii
NC_025542	NC_025542,KM462881		Interfilum terricola
NC_025543	NC_025543,KM462882	KM462882	Fusochloris perforata
NC_025544	NC_025544,KM462883	KM462883	Geminella minor
NC_025545	NC_025545,KM462884	NC_025545	Botryococcus braunii
NC_025546	NC_025546,KM462885	NC_025546	Dicloster acuatus
NC_025547	NC_025547,KM462886	KM462886	Pseudochloris wilhelmii
NC_025548	NC_025548,KM462887	KM462887	Elliptochloris bilobata
NC_025549	NC_025549,KM462888	NC_025549	Marvania geminata
NC_026522	NC_026522,KP308096	NC_026522	Choreocolax polysiphoniae
NC_026523	NC_026523,KP308097	KP308097	Vertebrata lanosa
NC_027093	NC_027093,LC008447	NC_027093	Lepidodinium chlorophorum
NC_027269	NC_027269,KP453743	NC_027269	Euglenaria anabaena
NC_027286	NC_027286,KP410781	NC_027286	Cryptoglena skujai
NC_027287	NC_027287,KP455987	NC_027287	Monomorphina parapyrum
NC_027288	NC_027288,KP686077	NC_027288	Trachelomonas volvocina
NC_027589	NC_027589,KP899713	NC_027589	Teleaulax amphioxeia
NC_027721	NC_027721,MW722945,KR709240	NC_027721	Pseudo-nitzschia multiseries
NC_028578	NC_028578,KT625410	NC_028578	Treubaria triappendiculata
NC_028579	NC_028579,KT625411	NC_028579	Mychonastes jurisii
NC_028580	NC_028580,KT625412	KT625412	Oogamochlamys gigantea
NC_028581	NC_028581,KT625413	KT625413	Jenufa perforata
NC_028582	NC_028582,KT625414	KT625414	Jenufa minuta
NC_028583	NC_028583,KT625415	KT625415	Hafniomonas laevis
NC_028584	NC_028584,KT625418	NC_028584	Characiochloris acuminata
NC_028585	NC_028585,KT625420	KT625420	Carteria cerasiformis
NC_028586	NC_028586,KT625421	NC_028586	Bracteacoccus giganteus
NC_028587	NC_028587,KT625422	NC_028587	Phacotus lenticularis
NC_029576	NC_029576,KR020505	NC_029576	Wildemania schizophylla
NC_029669	NC_029669,KT199256	KT199256	Pseudomuriella schumacherensis
NC_029670	NC_029670,KT199248	NC_029670	Neochloris aquatica
NC_029671	NC_029671,KT199249	KT199249	Mychonastes homosphaera
NC_029672	NC_029672,KT199251	NC_029672	Chromochloris zofingiensis
NC_029673	NC_029673,KT199252	KT199252	Chlorotetraedron incus
NC_029674	NC_029674,KT199253	NC_029674	Bracteacoccus minor
NC_029675	NC_029675,KT199254	KT199254	Bracteacoccus aerius
NC_029676	NC_029676,KT199250	KT199250	Kirchneriella aperta
NC_029735	NC_029735,KT199255	KT199255	Ankyra judayi
NC_029807	NC_029807,KU167098	KU167098	Scherffelia dubia
NC_029857	NC_029857,KT266785	KT266785	Sporolithon durum
NC_029858	NC_029858,KT266786	NC_029858	Gelidium elegans
NC_029859	NC_029859,KT266787	NC_029859	Gelidium vagum
NC_029861	NC_029861,KT266789	NC_029861	Pyropia pulchra
NC_030169	NC_030169,KX013545	KX013545	Cymbomonas tetramitiformis
NC_030314	NC_030314,KU646494	NC_030314	Closterium baillyanum
NC_030315	NC_030315,KU646496,NC_024168,KJ461681	NC_030315	Roya obtusa
NC_030338	NC_030338,KU053957	KU053957	Coeloseira compressa
NC_030355	NC_030355,KU646489	NC_030355	Spirogyra maxima
NC_030356	NC_030356,KU646491	NC_030356	Netrium digitus
NC_030359	NC_030359,KU646495	NC_030359	Cylindrocystis brebissonii
NC_031144	NC_031144,KX284709	NC_031144	Rhodymenia pseudopalmata
NC_031146	NC_031146,KX284724	NC_031146	Hildenbrandia rubra
NC_031147	NC_031147,KX284726		Palmaria palmata
NC_031148	NC_031148,KX284717	KX284717	Asparagopsis taxiformis
NC_031161	NC_031161,KX247284	NC_031161	Dasya binghamiae
NC_031167	NC_031167,KX525588	NC_031167	Mastocarpus papillatus
NC_031168	NC_031168,KX284711	KX284711	Schimmelmannia schousboei
NC_031169	NC_031169,KX284712	NC_031169	Schizymenia dubyi
NC_031170	NC_031170,KX284713	NC_031170	Sebdenia flabellata
NC_031172	NC_031172,KX284716	KX284716	Apophlaea sinclairii
NC_031174	NC_031174,KX284719	NC_031174	Ceramium japonicum
NC_031175	NC_031175,KX284720	KX284720	Porphyridium sordidum
NC_031176	NC_031176,KX284721	KX284721	Erythrotrichia carnea
NC_031177	NC_031177,KX284723	NC_031177	Hildenbrandia rivularis
NC_031178	NC_031178,KX284725	NC_031178	Kumanoa americana
NC_031179	NC_031179,KX284727	KX284727	Plocamium cartilagineum
NC_031211	NC_031211,KR025491,KR814486	KR025491	Campylaephora sungminbooi
NC_031367	NC_031367,KX808497	NC_031367	Derbesia sp. WEST4838
NC_031368	NC_031368,KX808498	KX808498	Caulerpa cliftonii
NC_031425	NC_031425,KX619437	KX619437	Toxarium undulatum
NC_032041	NC_032041,KT266849	KT266849	Membranoptera platyphylla
NC_032042	NC_032042,KT946602	NC_032042	Caulerpa racemosa
NC_032043	NC_032043,KT946603	NC_032043	Codium simulans
NC_032045	NC_032045,KU164871,KU164872	KU164872	Pleurocladia lacustris
NC_032109	NC_032109,KX828176	NC_032109	Chlamydomonas leiostraca
NC_032284	NC_032284,KU059765	KU059765	Lambia antarctica
NC_032288	NC_032288,KU255795	KU255795	Coccophora langsdorfii
NC_032396	NC_032396,NC_032399,KJ513670,KP675983	NC_032396	Membranoptera weeksiae
NC_033387	NC_033387,AP017927	NC_033387	Palmophyllum crassum
NC_034654	NC_034654,KY114064	NC_034654	Pediastrum duplex
NC_034655	NC_034655,KY114065	KY114065	Hydrodictyon reticulatum
NC_034709	NC_034709,KY407656	KY407656	Sarcinofilum mucosum
NC_034710	NC_034710,KY407657	NC_034710	Pseudoneochloris marina
NC_034711	NC_034711,NC_034712,KY407658,KY407659	NC_034711	Pseudocharacium americanum
NC_034713	NC_034713,KY407660	NC_034713	Neodangemannia microcystis
NC_034714	NC_034714,KY407661	NC_034714	Hazenia capsulata
NC_034776	NC_034776,KY709208	NC_034776	Boldia erythrosiphon
NC_034787	NC_034787,KY709209	KY709209	Bulboplastis apyrenoidosa
NC_035156	NC_035156,KP939040	KP939040	Euglena archaeoplastidiata
NC_035231	NC_035231,KY033529	NC_035231	Sheathia arcuata
NC_035257	NC_035257,MF101408	NC_035257	Dipterocladia arabiensis
NC_035258	NC_035258,MF101409	NC_035258	Platysiphonia delicata
NC_035259	NC_035259,MF101410	MF101410	Laurenciella marilzae
NC_035260	NC_035260,MF101411	MF101411	Acrosorium ciliolatum
NC_035261	NC_035261,MF101413	MF101413	Periphykon beckeri
NC_035262	NC_035262,MF101415	MF101415	Osmundaria fimbriata
NC_035263	NC_035263,MF101416	MF101416	Caloglossa monosticha
NC_035264	NC_035264,MF101417	MF101417	Bostrychia tenella
