genome id,genome name,gene contents,number of genes,GC content,taxonomy,genome size,Have multi-copy gene
NC_029576.1,Wildemania schizophylla,"['chlL', 'chlN', 'ycf46', 'rpl34', 'ycf37', 'orf174', 'psaF', 'psaJ', 'apcD', 'fabH', 'psbX', 'accD', 'psbV', 'petJ', 'carA', 'orf238', 'orf320', 'orf108', 'rbcR', 'psbY', 'rpl32', 'orf263', 'rpl21', 'rpl27', 'rne', 'psbA', 'ycf35', 'ycf20', 'apcF', 'orf121', 'orf114', 'orf450', 'rps4', 'ycf4', 'petL', 'psaL', 'orf58', 'rpl28', 'trxA', 'rbcL', 'rbcS', 'cbbX', 'ycf34', 'ilvH', 'infC', 'cemA', 'orf62', 'orf621', 'orf149', 'psbI', 'orf111', 'ycf39', 'orf287', 'sufB', 'sufC', 'atpA', 'atpD', 'atpF', 'atpG', 'atpH', 'atpI', 'tsf', 'rps2', 'rpoC2', 'rpoC1', 'rpoB', 'rps20', 'glnB', 'rpl33', 'rps18', 'infB', 'ycf3', 'atpB', 'atpE', 'apcB', 'apcA', 'apcE', 'tatC', 'petA', 'odpB', 'odpA', 'preA', 'rpl20', 'rpl35', 'pbsA', 'bas1', 'ycf36', 'orf71', 'ycf31', 'petN', 'ycf59', 'chlB', 'psaD', 'acpP', 'orf565', 'orf68', 'accB', 'psaA', 'psaB', 'rps10', 'tufA', 'rps7', 'rps12', 'rpl31', 'rps9', 'rpl13', 'rpoA', 'rps11', 'rps13', 'rpl36', 'secY', 'rps5', 'rpl18', 'rpl6', 'rps8', 'rpl5', 'rpl24', 'rpl14', 'rps17', 'rpl29', 'rpl16', 'rps3', 'rpl22', 'rps19', 'rpl2', 'rpl4', 'rpl23', 'rpl3', 'dnaK', 'psbZ', 'psbK', 'petG', 'rps14', 'petF', 'orf36', 'ycf38', 'psi', 'psbT', 'psbN', 'psbH', 'psaE', 'ftsH', 'argB', 'ycf33', 'ilvB', 'rpl19', 'clpC', 'dnaB', 'rpl9', 'orf382', 'moeB', 'orf75', 'rpl11', 'rpl1', 'rpl12', 'petD', 'petB', 'ycf28', 'ycf29', 'orf71', 'rps1', 'syfB', 'psbW', 'syh', 'groEL', 'orf148', 'ycf65', 'rps16', 'ycf19', 'orf198', 'ycf17', 'psbC', 'psbD', 'ompR', 'rps6', 'orf203', 'thiG', 'trpG', 'ccs1', 'orf240', 'cpcG', 'nblA', 'cpeB', 'cpeA', 'ccsA', 'psaK', 'accA', 'ycf22', 'ycf23', 'psaC', 'gltB', 'ycf61', 'cpcB', 'cpcA', 'pgmA', 'ycf21', 'secA', 'trpA', 'orf327', 'orf107', 'ycf12', 'ftrB', 'psaI', 'psbJ', 'psbL', 'psbF', 'psbE', 'ycf26', 'ycf63', 'chlI', 'psaM']",211,0.3441567188924811,"['Eukaryota', 'Rhodophyta', 'Bangiophyceae', 'Bangiales', 'Bangiaceae', 'Wildemania']",193008,True
OR666656.1,Discostella stelligera,"['psaA', 'psaB', 'petF', 'rpl19', 'psbV', 'ycf66', 'psbX', 'rbcS', 'rbcL', 'sufB', 'sufC', 'atpI', 'atpH', 'atpG', 'atpF', 'atpD', 'atpA', 'psbB', 'psbT', 'psbN', 'psbH', 'psaE', 'ycf42', 'rpl35', 'rpl20', 'ycf45', 'dnaB', 'rpl11', 'rpl1', 'rpl12', 'rps2', 'rpoC2', 'rpoC1', 'rpoB', 'rps20', 'rpl33', 'rps18', 'ycf3', 'atpB', 'atpE', 'tatC', 'petA', 'chlI', 'psaM', 'rps14', 'ftsH', 'ycf33', 'petN', 'petM', 'petG', 'psbK', 'psaI', 'psbD', 'psbC', 'ycf12', 'psbZ', 'secG', 'psaD', 'petB', 'petD', 'ycf90', 'psbJ', 'psbL', 'psbF', 'psbE', 'ycf4', 'petL', 'psaL', 'cbbX', 'ycf39', 'ycf41', 'psbI', 'psaF', 'psaJ', 'ycf89', 'psbY', 'rpl32', 'rbcR', 'rpl21', 'rpl27', 'secA', 'rpl34', 'ycf46', 'ccs1', 'psbA', 'ycf35', 'psaC', 'ccsA', 'rps16', 'rps4', 'thiS', 'psbW', 'groEL', 'dnaK', 'rpl3', 'rpl4', 'rpl23', 'rpl2', 'rps19', 'ycf88', 'rpl22', 'rps3', 'rpl16', 'rpl29', 'rps17', 'rpl14', 'rpl24', 'rpl5', 'rps8', 'rpl6', 'rpl18', 'rps5', 'secY', 'rpl36', 'rps13', 'rps11', 'rpoA', 'rpl13', 'rps9', 'rpl31', 'rps12', 'rps7', 'tufA', 'rps10', 'clpC', 'thiG', 'rps6', 'ccsA', 'psaC', 'ycf35', 'psbA', 'ccs1', 'ycf46', 'rpl34', 'secA', 'rpl27', 'rpl21', 'rbcR', 'rpl32', 'psbY', 'ycf89']",141,0.3124912553439565,"['Eukaryota', 'Sar', 'Stramenopiles', 'Ochrophyta', 'Bacillariophyta', 'Coscinodiscophyceae', 'Thalassiosirophycidae', 'Stephanodiscales', 'Stephanodiscaceae', 'Discostella']",128650,True
OP866272.1,Saccharina japonica cultivar 901,"['ycf37', 'psaM', 'chlI', 'petB', 'petD', 'atpA', 'atpD', 'atpF', 'atpG', 'atpH', 'atpI', 'tsf', 'rps2', 'rpoC2', 'rpoC1', 'rpoB', 'rps20', 'psaD', 'chlB', 'ccs1', 'ycf46', 'rpl34', 'secA', 'thiG', 'psbI', 'dnaK', 'groEL', 'petJ', 'psbV', 'ycf66', 'psbX', 'rpl27', 'rpl19', 'ycf47', 'petM', 'petN', 'acsF', 'ycf42', 'rpl35', 'rpl20', 'ilvH', 'ycf34', 'rbcL', 'rbcS', 'psaA', 'psaB', 'rps14', 'petG', 'psbK', 'ccsA', 'chlL', 'chlN', 'psaF', 'psaJ', 'petA', 'tatC', 'atpE', 'atpB', 'ycf3', 'rps18', 'rpl33', 'clpC', 'psaC', 'psbA', 'cbbx', 'ycf12', 'ftrB', 'psaI', 'psbJ', 'psbL', 'psbF', 'psbE', 'ycf4', 'psaL', 'rbcR', 'psbY', 'rpl32', 'rpl21', 'rpl3', 'rpl4', 'rpl23', 'rpl2', 'rps19', 'rpl22', 'rps3', 'rpl16', 'rpl29', 'rps17', 'rpl14', 'rpl24', 'rpl5', 'rps8', 'rpl6', 'rpl18', 'rps5', 'secY', 'rpl36', 'rps13', 'rps11', 'rpoA', 'rpl13', 'rps9', 'rpl31', 'rps12', 'rps7', 'tufA', 'rps10', 'psaE', 'ftsH', 'psbH', 'psbN', 'psbT', 'psbB', 'petF', 'rpl12', 'rpl1', 'rpl11', 'dnaB', 'rpl9', 'psbW', 'syfB', 'rps1', 'ycf40', 'ycf35', 'ycf24', 'ycf16', 'psbD', 'psbC', 'ycf41', 'ycf39', 'ycf33', 'ilvB', 'rps4', 'ycf65', 'rps16', 'ycf19', 'ycf17']",137,0.3105204312932672,"['Eukaryota', 'Sar', 'Stramenopiles', 'Ochrophyta', 'PX clade', 'Phaeophyceae', 'Laminariales', 'Laminariaceae', 'Saccharina']",130584,False
OR168088.1,Chlorokybus atmophyticus,"['orf27', 'psbD', 'psbC', 'petG', 'ycf65', 'psbA', 'ftsI', 'clpP', 'psbB', 'psbT', 'psbN', 'psbH', 'petB', 'petD', 'rps9', 'rpoA', 'rps11', 'rpl36', 'infA', 'rps8', 'rpl5', 'rpl14', 'rpl16', 'rps3', 'rpl22', 'rps19', 'rpl2', 'rpl23', 'orf92', 'rps4', 'cysA', 'atpA', 'atpF', 'atpH', 'atpI', 'rps2', 'rpoC2', 'rpoC1', 'rpoB', 'petN', 'ycf12', 'psaM', 'psbK', 'psbI', 'chlB', 'psaA', 'psaB', 'rps14', 'rps16', 'odpB', 'ycf62', 'ndhJ', 'ndhK', 'ndhC', 'ftsH', 'psbZ', 'orf81', 'psbE', 'psbF', 'psbL', 'psbJ', 'psaI', 'accD', 'ndhB', 'psbM', 'orf79', 'ycf66', 'rpl20', 'rps18', 'rpl33', 'psaJ', 'rps12', 'rps7', 'tufA', 'rpl19', 'orf71', 'ycf4', 'cemA', 'petA', 'orf188', 'petL', 'orf108', 'chlI', 'atpE', 'atpB', 'orf102', 'rbcL', 'ycf3', 'orf164', 'minD', 'psaC', 'ndhD', 'ndhF', 'rps15', 'ndhH', 'ndhA', 'ndhI', 'ndhG', 'ndhE', 'ycf20', 'ycf61', 'rbcR', 'rpl32', 'cysT', 'ycf1', 'chlN', 'chlL', 'ccsA', 'ftsW', 'orf164']",110,0.3613314513296621,"['Eukaryota', 'Viridiplantae', 'Streptophyta', 'Chlorokybophyceae', 'Chlorokybales', 'Chlorokybaceae', 'Chlorokybus']",150903,True
NC_031211.1,Campylaephora sungminbooi,"['rps6', 'ycf60', 'thiG', 'trpG', 'ccs1', 'orf240', 'ycf35', 'psbA', 'rne', 'rpl27', 'rpl21', 'orf263', 'rpl32', 'psbY', 'rbcR', 'ycf54', 'orf320', 'orf238', 'carA', 'petJ', 'psbV', 'accD', 'psbX', 'fabH', 'apcD', 'psaJ', 'ycf52', 'ycf37', 'rpl34', 'ycf46', 'ompR', 'psbD', 'psbC', 'orf198', 'ycf19', 'rps16', 'ycf65', 'groEL', 'syh', 'psbW', 'syfB', 'rps1', 'ycf40', 'ycf29', 'ntcA', 'petB', 'petD', 'rpl12', 'rpl1', 'rpl11', 'orf382', 'rpl9', 'dnaB', 'clpC', 'rpl19', 'ilvB', 'ycf33', 'argB', 'ftsH', 'psaE', 'psbH', 'psbN', 'psbT', 'psbB', 'ycf38', 'petF', 'rps10', 'tufA', 'rps7', 'rps12', 'rpl31', 'rps9', 'rpl13', 'rpoA', 'rps11', 'rps13', 'rpl36', 'secY', 'rps5', 'rpl18', 'rpl6', 'rps8', 'rpl5', 'rpl24', 'rpl14', 'rps17', 'rpl16', 'rps3', 'rpl22', 'rps19', 'rpl2', 'rpl23', 'rpl4', 'rpl3', 'dnaK', 'psbZ', 'psbK', 'petG', 'rps14', 'psaB', 'psaA', 'accB', 'orf68', 'ycf45', 'acpP', 'psaD', 'ycf59', 'petN', 'petM', 'ycf36', 'orf199', 'pbsA', 'rpl35', 'rpl20', 'preA', 'odpA', 'odpB', 'petA', 'tatC', 'apcE', 'apcA', 'apcB', 'atpE', 'atpB', 'ycf3', 'infB', 'rps18', 'rpl33', 'rps20', 'rpoB', 'rpoC1', 'rpoC2', 'rps2', 'tsf', 'atpI', 'atpH', 'atpG', 'atpD', 'atpA', 'ycf16', 'ycf24', 'ycf39', 'psbI', 'orf621', 'cemA', 'orf13', 'ycf4', 'orf7', 'psaL', 'orf58', 'rpl28', 'trxA', 'rbcL', 'rbcS', 'cbbX', 'ycf34', 'ilvH', 'rps4', 'orf450', 'orf121', 'apcF', 'ycf20', 'cpcG', 'nblA', 'cpeB', 'cpeA', 'ccsA', 'psaK', 'accA', 'ycf22', 'ycf23', 'psaC', 'gltB', 'ycf61', 'cpcB', 'cpcA', 'pgmA', 'ycf21', 'secA', 'trpA', 'orf327', 'ftrC', 'psaI', 'psbJ', 'psbL', 'psbF', 'psbE', 'ycf26', 'orf263', 'chlI', 'psaM']",191,0.2762981102004967,"['Eukaryota', 'Rhodophyta', 'Florideophyceae', 'Rhodymeniophycidae', 'Ceramiales', 'Ceramiaceae', 'Campylaephora']",171923,True
NC_042182.1,Chlorococcum tatrense,"['psaA', 'rbcL', 'rpoC2', 'rps3', 'petG', 'psbL', 'psbF', 'rpoBa', 'rpoBb', 'psaB', 'ccsA', 'psbZ', 'psbM', 'rps14', 'rps7', 'atpE', 'rpoA', 'ycf12', 'psbA', 'chlN', 'rps18', 'rps2', 'rps11', 'psbB', 'psbT', 'psbN', 'psbH', 'atpH', 'atpF', 'psbE', 'rps9', 'ycf4', 'ycf3', 'ycf1', 'rpl16', 'rpl14', 'rpl5', 'rps8', 'rpl20', 'rpl32', 'rps4', 'psbJ', 'atpI', 'psaJ', 'rps12', 'petB', 'rpl36', 'tufA', 'rpl23', 'rpl2', 'rps19', 'atpB', 'ftsH', 'psbC', 'chlL', 'psbD', 'psaC', 'petL', 'clpP', 'psbK', 'atpA', 'psbI', 'cemA', 'rpoC1', 'petA', 'petD', 'chlB']",67,0.36101613729085114,"['Eukaryota', 'Viridiplantae', 'Chlorophyta', 'core chlorophytes', 'Chlorophyceae', 'CS clade', 'Chlamydomonadales', 'Chlorococcaceae', 'Chlorococcum']",242172,False
NC_024050.1,Neoporphyra perforata,"['chlL', 'chlN', 'ycf46', 'rpl34', 'ycf37', 'orf174', 'psaF', 'psaJ', 'apcD', 'fabH', 'psbX', 'accD', 'psbV', 'petJ', 'carA', 'orf238', 'orf320', 'orf108', 'rbcR', 'psbY', 'rpl32', 'orf263', 'rpl21', 'rpl27', 'rne', 'psbA', 'ycf35', 'ycf20', 'apcF', 'orf121', 'orf114', 'orf450', 'rps4', 'ycf4', 'petL', 'psaL', 'orf58', 'rpl28', 'trxA', 'rbcL', 'rbcS', 'cbbX', 'ycf34', 'ilvH', 'infC', 'cemA', 'orf62', 'orf621', 'orf149', 'psbI', 'orf111', 'ycf39', 'orf287', 'sufB', 'sufC', 'atpA', 'atpD', 'atpF', 'atpG', 'atpH', 'atpI', 'tsf', 'rps2', 'rpoC2', 'rpoC1', 'rpoB', 'rps20', 'glnB', 'rpl33', 'rps18', 'infB', 'ycf3', 'atpB', 'atpE', 'apcB', 'apcA', 'apcE', 'tatC', 'petA', 'odpB', 'odpA', 'preA', 'rpl20', 'rpl35', 'pbsA', 'bas1', 'ycf36', 'orf71', 'petN', 'ycf59', 'chlB', 'psaD', 'acpP', 'orf565', 'orf68', 'psaA', 'psaB', 'rps10', 'tufA', 'rps7', 'rps12', 'rpl31', 'rps9', 'rpl13', 'rpoA', 'rps11', 'rps13', 'rpl36', 'secY', 'rps5', 'rpl18', 'rpl6', 'rps8', 'rpl5', 'rpl24', 'rpl14', 'rps17', 'rpl29', 'rpl16', 'rps3', 'rpl22', 'rps19', 'rpl2', 'rpl23', 'rpl3', 'rpl4', 'dnaK', 'psbZ', 'psbK', 'petG', 'rps14', 'petF', 'orf36', 'ycf38', 'psi', 'psbT', 'psbN', 'psbH', 'psaE', 'ftsH', 'argB', 'ycf33', 'ilvB', 'rpl19', 'clpC', 'dnaB', 'rpl9', 'orf382', 'moeB', 'orf75', 'rpl11', 'rpl1', 'rpl12', 'petD', 'petB', 'ycf28', 'ycf29', 'orf71', 'rps1', 'syfB', 'psbW', 'syh', 'groEL', 'orf148', 'ycf65', 'rps16', 'ycf19', 'orf198', 'ycf17', 'psbC', 'psbD', 'ompR', 'rps6', 'orf203', 'thiG', 'trpG', 'ccs1', 'orf240', 'cpcG', 'nblA', 'cpeB', 'cpeA', 'ccsA', 'psaK', 'accA', 'ycf22', 'ycf23', 'psaC', 'gltB', 'ycf61', 'cpcB', 'cpcA', 'pgmA', 'ycf21', 'secA', 'trpA', 'orf327', 'orf107', 'ycf12', 'ftrB', 'psaI', 'psbJ', 'psbL', 'psbF', 'psbE', 'ycf26', 'ycf63', 'chlI-2', 'psaM']",209,0.3290865118631744,"['Eukaryota', 'Rhodophyta', 'Bangiophyceae', 'Bangiales', 'Bangiaceae', 'Neoporphyra']",189789,True
NC_025533.1,Lobosphaera incisa,"['rps2', 'rpl12', 'rps9', 'rpoA', 'rps11', 'rpl36', 'infA', 'rps8', 'rpl5', 'rpl14', 'rpl16', 'rps3', 'rps19', 'rpl2', 'rpl23', 'psbJ', 'psbL', 'psbF', 'psbE', 'petL', 'petG', 'petA', 'psbD', 'psbC', 'psbZ', 'ftsH', 'rpl32', 'ccsA', 'chlL', 'chlN', 'rps4', 'atpI', 'atpH', 'atpF', 'atpA', 'cysA', 'ycf1', 'cysT', 'accD', 'rbcL', 'clpP', 'rps18', 'rpl20', 'rps14', 'psaI', 'rpl19', 'tufA', 'psbH', 'psbN', 'psbT', 'psbB', 'ycf3', 'psaA', 'psaB', 'psbA', 'psbM', 'ycf20', 'psaC', 'psbI', 'chlB', 'psbK', 'psaM', 'ycf12', 'psaJ', 'atpE', 'atpB', 'rpoC2', 'rpoC1', 'rpoB', 'chlI', 'ycf47', 'rps12', 'rps7', 'petB', 'petD', 'ycf4', 'cemA', 'minD']",78,0.2778742685748345,"['Eukaryota', 'Viridiplantae', 'Chlorophyta', 'core chlorophytes', 'Trebouxiophyceae', 'Trebouxiales', 'Trebouxiaceae', 'Lobosphaera']",156031,False
NC_065317.1,Gonyostomum semen,"['rps7', 'rps12', 'rpl31', 'rps9', 'rpl13', 'rpoA', 'rps11', 'rps13', 'rpl36', 'secY', 'rps5', 'rpl18', 'rpl6', 'rps8', 'rpl5', 'rpl24', 'rpl14', 'rps17', 'rpl29', 'rpl16', 'rps3', 'rpl22', 'rps19', 'rpl2', 'rpl23', 'rpl4', 'rpl3', 'dnaK', 'ftsH', 'psaE', 'psbH', 'psbN', 'psbT', 'psbB', 'petF', 'petD', 'petB', 'ycf35', 'acpP', 'psaF', 'psaJ', 'ycf3', 'rps18', 'rpl33', 'rps20', 'rpoB', 'rpoC1', 'rpoC2', 'rps2', 'tsf', 'atpI', 'atpH', 'atpG', 'atpF', 'atpD', 'atpA', 'ycf33', 'rpl19', 'psbI', 'ycf41', 'ycf39', 'ycf24', 'ycf16', 'psaC', 'ccsA', 'rbcL', 'rbcS', 'cbbX', 'psbA', 'ycf54', 'rpl21', 'rpl27', 'clpC', 'atpB', 'atpE', 'tatC', 'petA', 'psaL', 'ftrB', 'ycf12', 'psaI', 'dnaB', 'ilvB', 'rpl11', 'rpl1', 'rpl12', 'psbJ', 'psbL', 'psbF', 'psbE', 'ycf4', 'ycf17', 'psbC', 'psbD', 'orf27', 'ccs1', 'ycf46', 'rpl34', 'secA', 'orf001', 'thiG', 'rpl32', 'psbY', 'rbcR', 'petJ', 'psbV', 'ycf66', 'psbX', 'orf002', 'orf003', 'ycf34', 'ilvH', 'groEL', 'orf004', 'ycf65', 'rps16', 'orf005', 'ycf45', 'psaA', 'psaB', 'rps14', 'petG', 'psbK', 'psbZ', 'psbW', 'syfB', 'rps1', 'thiS', 'rps4', 'psaD', 'ycf36', 'petM', 'petN', 'ycf59', 'ycf42', 'rpl35', 'rpl20', 'tsg1', 'chlI', 'rps10', 'tufA']",141,0.28042098721010106,"['Eukaryota', 'Sar', 'Stramenopiles', 'Ochrophyta', 'Raphidophyceae', 'Chattonellales', 'Vacuolariaceae', 'Gonyostomum']",122284,False
OQ349515.1,Ostreobium sp. TRHA14-720,"['psaI', 'petA', 'rpl23', 'rpl2', 'rps19', 'rps3', 'rpl16', 'rpl14', 'rpl5', 'rps8', 'infA', 'rpl36', 'rps11', 'rpoA', 'ycf1', 'cysT', 'ycf47', 'rpl12', 'rps9', 'rpl32', 'petD', 'petB', 'rps14', 'atpB', 'atpE', 'psaM', 'psb30', 'psbK', 'psbN', 'psbI', 'chlB', 'psaA', 'psaB', 'psbZ', 'ycf62', 'orf156', 'psbD', 'psbC', 'chlN', 'chlL', 'ccs1', 'cysA', 'psbB', 'psbT', 'psbH', 'orf225', 'clpP', 'rpl19', 'tufA', 'psbA', 'orf470', 'chlI', 'ycf4', 'atpA', 'atpH', 'atpI', 'rps2', 'petL', 'psaJ', 'rpoC2', 'rpoC1', 'rpoB', 'petG', 'rbcL', 'rps12', 'rps7', 'accD', 'psbE', 'psbF', 'psbL', 'psbJ', 'rps4', 'psaC', 'ycf20', 'ftsH', 'psbM', 'rpl20', 'rps18', 'ycf3']",79,0.31090891947953986,"['Eukaryota', 'Viridiplantae', 'Chlorophyta', 'Ulvophyceae', 'TCBD clade', 'Bryopsidales', 'Ostreobineae', 'Ostreobiaceae', 'Ostreobium']",84848,False
KY509314.1,Ostreobium sp. HV05042,"['psaI', 'petA', 'rpl23', 'rpl2', 'rps19', 'rps3', 'rpl16', 'rpl14', 'rpl5', 'rps8', 'infA', 'rpl36', 'rps11', 'rpoA', 'ycf1', 'cysT', 'ycf47', 'rpl12', 'rps9', 'rpl32', 'petD', 'petB', 'rps14', 'atpB', 'atpE', 'psaM', 'psb30', 'psbK', 'psbN', 'psbI', 'chlB', 'psaA', 'psaB', 'psbZ', 'psbD', 'psbC', 'chlN', 'chlL', 'ccs1', 'cysA', 'psbB', 'psbT', 'psbH', 'clpP', 'rpl19', 'tufA', 'psbA', 'orf470', 'chlI', 'ycf4', 'atpA', 'atpF', 'atpH', 'atpI', 'rps2', 'petL', 'psaJ', 'rpoC2', 'rpoC1', 'rpoB', 'petG', 'rbcL', 'rps12', 'rps7', 'accD', 'psbE', 'psbF', 'psbL', 'psbJ', 'rps4', 'psaC', 'ycf20', 'ftsH', 'psbM', 'rpl20', 'rps18', 'ycf3']",77,0.28415069989079716,"['Eukaryota', 'Viridiplantae', 'Chlorophyta', 'Ulvophyceae', 'TCBD clade', 'Bryopsidales', 'Ostreobineae', 'Ostreobiaceae', 'Ostreobium']",80584,False
MH396014.1,Gracilariopsis longissima,"['rps6', 'ycf60', 'thiG', 'trpG', 'ccs1', 'dsbD', 'ycf35', 'psbA', 'rne', 'rpl27', 'rpl21', 'rnz', 'rpl32', 'psbY', 'lysR', 'ycf54', 'ycf55', 'ycf53', 'carA', 'petJ', 'psbV', 'accD', 'psbX', 'fabH', 'apcD', 'psaJ', 'psaF', 'ycf52', 'ycf37', 'rpl34', 'ycf46', 'psaM', 'chlI', 'ycf63', 'dfr', 'psbE', 'psbF', 'psbL', 'psbJ', 'psaI', 'ftrB', 'ycf12', 'ycf62', 'trpA', 'secA', 'ycf21', 'pgmA', 'cpcA', 'cpcB', 'ycf61', 'gltB', 'psaC', 'ycf23', 'ycf22', 'accA', 'psaK', 'ccsA', 'cpeA', 'cpeB', 'nblA', 'cpcG', 'ycf20', 'apcF', 'ycf91', 'orf441', 'rps4', 'infC', 'ilvH', 'ycf34', 'cbbX', 'rbcS', 'rbcL', 'trxA', 'rpl28', 'orf233', 'psaL', 'petL', 'ycf4', 'orf461', 'cemA', 'orf222', 'orf445', 'ycf58', 'psbI', 'ycf41', 'ycf39', 'orf241', 'sufB', 'sufC', 'atpA', 'atpD', 'atpF', 'atpG', 'atpH', 'atpI', 'tsf', 'rps2', 'rpoC2', 'rpoC1', 'rpoB', 'rps20', 'rpl33', 'rps18', 'infB', 'ycf3', 'atpB', 'atpE', 'apcB', 'apcA', 'apcE', 'tatC', 'petA', 'odpB', 'odpA', 'preA', 'rpl20', 'rpl35', 'pbsA', 'bas1', 'ycf36', 'secG', 'petM', 'petN', 'ycf59', 'psaD', 'acpP', 'ycf45', 'ycf86', 'accB', 'psaA', 'psaB', 'rps14', 'petG', 'psbK', 'psbZ', 'dnaK', 'rpl3', 'rpl4', 'rpl23', 'rpl2', 'rps19', 'orf114', 'rps3', 'rpl16', 'rpl29', 'rps17', 'rpl14', 'rpl24', 'rpl5', 'rps8', 'rpl6', 'rpl18', 'rps5', 'secY', 'rpl36', 'rps13', 'rps11', 'rpoA', 'rpl13', 'rps9', 'rpl31', 'rps12', 'rps7', 'tufA', 'rps10', 'petF', 'ycf38', 'psbB', 'psbT', 'psbN', 'psbH', 'psaE', 'ftsH', 'argB', 'ycf33', 'ilvB', 'rpl19', 'orf140', 'dnaB', 'clpC', 'psbW', 'syfB', 'rps1', 'thiS', 'ycf29', 'ntcA', 'petB', 'petD', 'rpl12', 'rpl1', 'rpl11', 'moeB', 'rpl9', 'syh', 'groEL', 'orf640', 'ycf65', 'rps16', 'ycf19', 'orf192', 'ycf17', 'psbC', 'psbD', 'ompR']",204,0.2732000703698817,"['Eukaryota', 'Rhodophyta', 'Florideophyceae', 'Rhodymeniophycidae', 'Gracilariales', 'Gracilariaceae', 'Gracilariopsis']",181896,False
LC484193.1,Cryptomonas sp. CCAC 1634B,"['atpA', 'atpD', 'atpF', 'atpG', 'atpH', 'atpI', 'tsf', 'rps2', 'rpoC2', 'rpoC1', 'rpoB', 'rps20', 'rpl33', 'rps18', 'infB', 'atpB', 'atpE', 'tatC', 'rpl20', 'rpl35', 'rps14', 'acpP', 'chlB', 'dnaK', 'rpl3', 'rpl4', 'rpl23', 'rpl2', 'rps19', 'rpl22', 'rps3', 'rpl16', 'rpl29', 'rps17', 'rpl14', 'rpl24', 'rpl5', 'rps8', 'rpl6', 'rpl18', 'rps5', 'secY', 'rpl36', 'rps13', 'rps11', 'rpoA', 'rpl13', 'rps9', 'rpl31', 'rps12', 'rps7', 'tufA', 'rps10', 'petF', 'ftsH', 'ilvB', 'rpl19', 'clpC', 'rpl11', 'rpl1', 'rpl12', 'ycf29', 'groEL', 'ycf65', 'rps16', 'ycf19', 'rps6', 'ycf61', 'secA', 'minD', 'minE', 'chlN', 'chlL', 'rpl32', 'rpl27', 'rpl21', 'chlI', 'rps4', 'ilvH', 'cemA', 'sufB', 'sufC']",82,0.396606337652013,"['Eukaryota', 'Cryptophyceae', 'Cryptomonadales', 'Cryptomonadaceae', 'Cryptomonas']",80503,False
NC_025531.1,Koliella longiseta,"['psbC', 'psbD', 'atpA', 'atpF', 'atpH', 'atpI', 'rps2', 'rpoC2', 'rpoC1', 'rpoB', 'psbB', 'psbT', 'psbN', 'psbH', 'clpP', 'petB', 'petD', 'rpl12', 'rps9', 'rpoA', 'rps11', 'rpl36', 'infA', 'rps8', 'rpl5', 'rpl14', 'rpl16', 'rps3', 'rps19', 'rpl2', 'rpl23', 'cemA', 'ycf4', 'rpl19', 'tufA', 'rps7', 'rps12', 'psaJ', 'rps18', 'rpl20', 'rps14', 'petG', 'petL', 'petA', 'chlI', 'rps4', 'atpB', 'atpE', 'rbcL', 'psaI', 'ycf3', 'psbI', 'cysA', 'accD', 'ftsH', 'psbJ', 'psbL', 'psbF', 'psbE', 'psbZ', 'ycf47', 'ycf62', 'psaM', 'ycf12', 'psbK', 'chlB', 'psaA', 'psaB', 'psbA', 'psbM', 'ccsA', 'minD', 'chlL', 'chlN', 'ycf1', 'cysT', 'rpl32', 'ycf20', 'psaC', 'psbA']",80,0.3142459942971374,"['Eukaryota', 'Viridiplantae', 'Chlorophyta', 'core chlorophytes', 'Trebouxiophyceae', 'Prasiolales', 'Koliellaceae', 'Koliella']",197094,True
NC_071864.1,Phacus arnoldii,[],0,0.25595795916914793,"['Eukaryota', 'Discoba', 'Euglenozoa', 'Euglenida', 'Spirocuta', 'Euglenophyceae', 'Euglenales', 'Phacaceae', 'Phacus']",84299,False
