genomeid	length	type	structure	release_date
NC_086755	156181	DNA	circular	05-MAR-2024
NC_086756	151685	DNA	circular	05-MAR-2024
NC_086797	100923	DNA	circular	05-MAR-2024
NC_086808	93205	DNA	circular	05-MAR-2024
NC_086863	480613	DNA	circular	05-MAR-2024
NC_086864	383846	DNA	circular	05-MAR-2024
NC_086871	206705	DNA	circular	05-MAR-2024
NC_086886	140508	DNA	circular	05-MAR-2024
NC_086904	46249	DNA	circular	05-MAR-2024
NC_086905	28412	DNA	circular	05-MAR-2024
NC_086906	28282	DNA	circular	05-MAR-2024
NC_086907	46196	DNA	circular	05-MAR-2024
NC_086908	53163	DNA	circular	05-MAR-2024
NC_086909	53237	DNA	circular	05-MAR-2024
NC_086910	38525	DNA	circular	05-MAR-2024
NC_086911	51694	DNA	circular	05-MAR-2024
NC_086912	28370	DNA	circular	05-MAR-2024
NC_086913	49137	DNA	circular	05-MAR-2024
NC_086914	28516	DNA	circular	05-MAR-2024
PP291728	46249	DNA	circular	17-FEB-2024
PP291729	28412	DNA	circular	17-FEB-2024
PP291730	28282	DNA	circular	17-FEB-2024
PP291731	46196	DNA	circular	17-FEB-2024
PP291732	53163	DNA	circular	17-FEB-2024
PP291733	53237	DNA	circular	17-FEB-2024
PP291734	38525	DNA	circular	17-FEB-2024
PP291735	51694	DNA	circular	17-FEB-2024
PP291736	28370	DNA	circular	17-FEB-2024
PP291737	49137	DNA	circular	17-FEB-2024
PP291738	28516	DNA	circular	17-FEB-2024
PP291739	47600	DNA	circular	17-FEB-2024
PP291740	28349	DNA	circular	17-FEB-2024
OR699085	140508	DNA	circular	13-FEB-2024
LC781622	70680	DNA	circular	INV	09-FEB-2024
OQ848499	472444	DNA	circular	07-FEB-2024
OQ848500	480613	DNA	circular	07-FEB-2024
OQ848501	383846	DNA	circular	07-FEB-2024
OR361335	206705	DNA	circular	08-MAY-2024
OQ349516	100923	DNA	circular	04-FEB-2024
OR003918	93205	DNA	circular	04-FEB-2024
NC_085234	130404	DNA	circular	01-FEB-2024
NC_085293	130296	DNA	linear	01-FEB-2024
NC_085294	130377	DNA	linear	01-FEB-2024
NC_085295	130110	DNA	linear	01-FEB-2024
NC_085296	130219	DNA	linear	01-FEB-2024
NC_085297	120428	DNA	linear	01-FEB-2024
NC_085298	125684	DNA	linear	01-FEB-2024
NC_085299	130676	DNA	linear	01-FEB-2024
NC_085300	126681	DNA	linear	01-FEB-2024
NC_085301	130588	DNA	linear	01-FEB-2024
NC_085302	122892	DNA	linear	01-FEB-2024
NC_085303	130837	DNA	linear	01-FEB-2024
NC_085304	130972	DNA	linear	01-FEB-2024
NC_085305	128949	DNA	linear	01-FEB-2024
NC_085306	130554	DNA	linear	01-FEB-2024
NC_085307	130340	DNA	linear	01-FEB-2024
NC_085308	127617	DNA	linear	01-FEB-2024
NC_085309	130987	DNA	linear	01-FEB-2024
NC_085310	129788	DNA	linear	01-FEB-2024
NC_085311	129556	DNA	linear	01-FEB-2024
NC_085312	130899	DNA	linear	01-FEB-2024
OM084809	120813	DNA	circular	31-JAN-2024
OR502664	174511	DNA	circular	31-JAN-2024
OR502665	148816	DNA	circular	31-JAN-2024
OR502666	167631	DNA	circular	31-JAN-2024
OR502667	168621	DNA	circular	31-JAN-2024
OR502668	196309	DNA	circular	31-JAN-2024
OR502669	156181	DNA	circular	31-JAN-2024
OR502670	151685	DNA	circular	31-JAN-2024
OR502671	174598	DNA	circular	31-JAN-2024
OR502672	179208	DNA	circular	31-JAN-2024
OR757060	132843	DNA	circular	22-JAN-2024
OR757061	134350	DNA	circular	22-JAN-2024
OR858607	184078	DNA	circular	20-JUN-2024
OR805654	227575	DNA	circular	17-DEC-2023
OR795085	158005	DNA	circular	16-DEC-2023
OR795086	157990	DNA	circular	16-DEC-2023
ON552953	130296	DNA	linear	15-DEC-2023
ON552954	130377	DNA	linear	15-DEC-2023
ON552955	130110	DNA	linear	15-DEC-2023
ON552956	130219	DNA	linear	15-DEC-2023
ON552957	120428	DNA	linear	15-DEC-2023
ON552958	129939	DNA	linear	15-DEC-2023
ON552959	125684	DNA	linear	15-DEC-2023
ON552960	130676	DNA	linear	15-DEC-2023
ON552961	126681	DNA	linear	15-DEC-2023
ON552962	130588	DNA	linear	15-DEC-2023
ON552963	122892	DNA	linear	15-DEC-2023
ON552964	130837	DNA	linear	15-DEC-2023
ON552965	130841	DNA	linear	15-DEC-2023
ON552966	130972	DNA	linear	15-DEC-2023
ON552967	128949	DNA	linear	15-DEC-2023
ON552968	130554	DNA	linear	15-DEC-2023
ON552969	130008	DNA	linear	15-DEC-2023
ON552970	130340	DNA	linear	15-DEC-2023
ON552971	127617	DNA	linear	15-DEC-2023
ON552972	130987	DNA	linear	15-DEC-2023
ON552973	134360	DNA	linear	15-DEC-2023
ON552974	129788	DNA	linear	15-DEC-2023
ON552975	129556	DNA	linear	15-DEC-2023
ON552976	130899	DNA	linear	15-DEC-2023
ON527003	130404	DNA	circular	12-DEC-2023
NC_084208	196746	DNA	circular	07-DEC-2023
NC_084248	189389	DNA	circular	07-DEC-2023
NC_084249	196173	DNA	circular	07-DEC-2023
NC_084250	192611	DNA	circular	07-DEC-2023
NC_084269	450749	DNA	circular	07-DEC-2023
NC_084366	130317	DNA	circular	07-DEC-2023
OR663914	130317	DNA	circular	11-NOV-2023
OR398345	450749	DNA	circular	01-NOV-2023
OR635816	189389	DNA	circular	31-OCT-2023
OR635817	196173	DNA	circular	31-OCT-2023
OR635818	192611	DNA	circular	31-OCT-2023
OR608737	192037	DNA	circular	30-OCT-2023
OR597590	196746	DNA	circular	28-OCT-2023
OP612670	177146	DNA	circular	18-OCT-2023
NC_077461	129273	DNA	circular	06-OCT-2023
NC_077586	128773	DNA	circular	06-OCT-2023
NC_077590	87172	DNA	circular	06-OCT-2023
NC_077591	122172	DNA	circular	06-OCT-2023
NC_082854	171833	DNA	circular	04-OCT-2023
NC_082855	176465	DNA	circular	04-OCT-2023
NC_082856	172020	DNA	circular	04-OCT-2023
NC_082858	177606	DNA	circular	04-OCT-2023
OR350844	191394	DNA	circular	30-SEP-2023
NC_082433	116024	DNA	circular	20-SEP-2023
NC_081925	135967	DNA	circular	16-SEP-2023
NC_081972	196617	DNA	circular	16-SEP-2023
NC_081973	192614	DNA	circular	16-SEP-2023
NC_082037	116906	DNA	circular	16-SEP-2023
NC_082067	143219	DNA	circular	16-SEP-2023
NC_082068	169147	DNA	circular	16-SEP-2023
NC_082069	211508	DNA	circular	16-SEP-2023
NC_082070	189440	DNA	circular	16-SEP-2023
NC_082071	194140	DNA	circular	16-SEP-2023
NC_082072	203147	DNA	circular	16-SEP-2023
NC_082073	178271	DNA	circular	16-SEP-2023
NC_082074	193751	DNA	circular	16-SEP-2023
NC_082075	252075	DNA	circular	16-SEP-2023
NC_082076	127841	DNA	circular	16-SEP-2023
NC_082077	166784	DNA	circular	16-SEP-2023
NC_082078	199199	DNA	circular	16-SEP-2023
NC_082175	172793	DNA	circular	16-SEP-2023
NC_082194	83372	DNA	circular	INV	16-SEP-2023
OQ908868	173810	DNA	circular	04-SEP-2023
OQ908869	173808	DNA	circular	04-SEP-2023
OQ908870	172933	DNA	circular	04-SEP-2023
OQ908871	171833	DNA	circular	04-SEP-2023
OQ908872	176465	DNA	circular	04-SEP-2023
OQ908873	172020	DNA	circular	04-SEP-2023
OR382008	177606	DNA	circular	04-SEP-2023
NC_081592	173169	DNA	circular	30-AUG-2023
NC_081593	173835	DNA	circular	30-AUG-2023
NC_081594	174543	DNA	circular	30-AUG-2023
NC_081595	173626	DNA	circular	30-AUG-2023
NC_081596	173251	DNA	circular	30-AUG-2023
NC_081597	173464	DNA	circular	30-AUG-2023
NC_081598	175748	DNA	circular	30-AUG-2023
NC_081599	173580	DNA	circular	30-AUG-2023
NC_081600	173754	DNA	circular	30-AUG-2023
NC_081601	177036	DNA	circular	30-AUG-2023
OQ849777	235854	DNA	circular	13-AUG-2023
OP121027	130579	DNA	circular	06-AUG-2023
OP121028	130571	DNA	circular	06-AUG-2023
OP121029	130589	DNA	circular	06-AUG-2023
OP121030	130566	DNA	circular	06-AUG-2023
OP121031	130562	DNA	circular	06-AUG-2023
OP121032	130594	DNA	circular	06-AUG-2023
OP121033	130562	DNA	circular	06-AUG-2023
OP121034	130589	DNA	circular	06-AUG-2023
OP121035	130582	DNA	circular	06-AUG-2023
OP121036	130571	DNA	circular	06-AUG-2023
OP121037	130580	DNA	circular	06-AUG-2023
OP121038	130555	DNA	circular	06-AUG-2023
OP121039	130556	DNA	circular	06-AUG-2023
OP121040	130568	DNA	circular	06-AUG-2023
OP121041	130556	DNA	circular	06-AUG-2023
OP121042	130556	DNA	circular	06-AUG-2023
OP121043	130556	DNA	circular	06-AUG-2023
OP121044	130562	DNA	circular	06-AUG-2023
OP121045	130562	DNA	circular	06-AUG-2023
OP121046	130556	DNA	circular	06-AUG-2023
OP121047	130561	DNA	circular	06-AUG-2023
OP121048	130562	DNA	circular	06-AUG-2023
OP121049	130556	DNA	circular	06-AUG-2023
OP121050	130569	DNA	circular	06-AUG-2023
OP121051	130569	DNA	circular	06-AUG-2023
OP121052	130587	DNA	circular	06-AUG-2023
OP121053	130569	DNA	circular	06-AUG-2023
OP121054	130569	DNA	circular	06-AUG-2023
OP121055	130569	DNA	circular	06-AUG-2023
OP121056	130569	DNA	circular	06-AUG-2023
OP121057	130569	DNA	circular	06-AUG-2023
OP121058	130569	DNA	circular	06-AUG-2023
OP121059	130569	DNA	circular	06-AUG-2023
OP121060	130569	DNA	circular	06-AUG-2023
OP121061	130569	DNA	circular	06-AUG-2023
OP121062	130569	DNA	circular	06-AUG-2023
OP121063	130580	DNA	circular	06-AUG-2023
OP121064	130596	DNA	circular	06-AUG-2023
OP121065	130582	DNA	circular	06-AUG-2023
OP121066	130582	DNA	circular	06-AUG-2023
OP121067	130613	DNA	circular	06-AUG-2023
OP121068	130596	DNA	circular	06-AUG-2023
OP121069	130607	DNA	circular	06-AUG-2023
OP121070	130596	DNA	circular	06-AUG-2023
OP121071	130596	DNA	circular	06-AUG-2023
OP121072	130621	DNA	circular	06-AUG-2023
OP121073	130612	DNA	circular	06-AUG-2023
OP121074	130615	DNA	circular	06-AUG-2023
OP121075	130596	DNA	circular	06-AUG-2023
OP121076	130596	DNA	circular	06-AUG-2023
OP121077	130607	DNA	circular	06-AUG-2023
OP121078	130593	DNA	circular	06-AUG-2023
OP121079	130605	DNA	circular	06-AUG-2023
OP121080	130615	DNA	circular	06-AUG-2023
OP121081	130569	DNA	circular	06-AUG-2023
OP121082	130587	DNA	circular	06-AUG-2023
OP121083	130541	DNA	circular	06-AUG-2023
OP121084	130569	DNA	circular	06-AUG-2023
OP121085	130575	DNA	circular	06-AUG-2023
OP121086	130569	DNA	circular	06-AUG-2023
OP121087	130569	DNA	circular	06-AUG-2023
OP121088	130575	DNA	circular	06-AUG-2023
OP121089	130587	DNA	circular	06-AUG-2023
OL964140	173169	DNA	circular	04-AUG-2023
OL964141	173835	DNA	circular	04-AUG-2023
OL964142	173918	DNA	circular	04-AUG-2023
OL964143	174543	DNA	circular	04-AUG-2023
OL964144	173626	DNA	circular	04-AUG-2023
OL964145	173928	DNA	circular	04-AUG-2023
OL964146	173589	DNA	circular	04-AUG-2023
OL964147	173251	DNA	circular	04-AUG-2023
OL964148	173464	DNA	circular	04-AUG-2023
OL964149	176735	DNA	circular	04-AUG-2023
OL964150	177247	DNA	circular	04-AUG-2023
OL964151	175748	DNA	circular	04-AUG-2023
OL964152	173616	DNA	circular	04-AUG-2023
OL964153	173580	DNA	circular	04-AUG-2023
OL964154	173520	DNA	circular	04-AUG-2023
OL964155	173754	DNA	circular	04-AUG-2023
OL964156	177036	DNA	circular	04-AUG-2023
OQ161668	83372	DNA	circular	INV	03-AUG-2023
OQ161669	83264	DNA	circular	INV	03-AUG-2023
OQ161670	92424	DNA	circular	INV	03-AUG-2023
OQ161671	83341	DNA	circular	INV	03-AUG-2023
OQ161672	88018	DNA	circular	INV	03-AUG-2023
OQ161673	88018	DNA	circular	INV	03-AUG-2023
OR228415	172793	DNA	circular	02-AUG-2023
OR228416	130584	DNA	circular	02-AUG-2023
OR228417	130569	DNA	circular	02-AUG-2023
OR228418	130503	DNA	circular	02-AUG-2023
OR168088	150903	DNA	circular	26-JUL-2023
OR168089	206247	DNA	circular	26-JUL-2023
OR168090	206244	DNA	circular	26-JUL-2023
OR168091	143219	DNA	circular	26-JUL-2023
OR168092	169147	DNA	circular	26-JUL-2023
OR168093	172507	DNA	circular	26-JUL-2023
OR168094	170157	DNA	circular	26-JUL-2023
OR168095	211508	DNA	circular	26-JUL-2023
OR168096	189440	DNA	circular	26-JUL-2023
OR168097	193939	DNA	circular	26-JUL-2023
OR168098	194140	DNA	circular	26-JUL-2023
OR168099	171719	DNA	circular	26-JUL-2023
OR168100	181484	DNA	circular	26-JUL-2023
OR168101	176540	DNA	circular	26-JUL-2023
OR168102	203147	DNA	circular	26-JUL-2023
OR168103	178271	DNA	circular	26-JUL-2023
OR168104	205920	DNA	circular	26-JUL-2023
OR168105	192778	DNA	circular	26-JUL-2023
OR168106	180230	DNA	circular	26-JUL-2023
OR168107	193939	DNA	circular	26-JUL-2023
OR168108	192971	DNA	circular	26-JUL-2023
OR168109	188707	DNA	circular	26-JUL-2023
OR168110	178020	DNA	circular	26-JUL-2023
OR168111	193751	DNA	circular	26-JUL-2023
OR168112	118360	DNA	circular	26-JUL-2023
OR168113	120172	DNA	circular	26-JUL-2023
OR168114	252075	DNA	circular	26-JUL-2023
OR168115	127841	DNA	circular	26-JUL-2023
OR168116	127634	DNA	circular	26-JUL-2023
OR168117	127653	DNA	circular	26-JUL-2023
OR168118	166784	DNA	circular	26-JUL-2023
OR168119	199199	DNA	circular	26-JUL-2023
OR148361	116906	DNA	circular	22-JUL-2023
OR148362	113686	DNA	circular	22-JUL-2023
OR139612	130103	DNA	circular	18-JUL-2023
OR123498	191974	DNA	circular	17-JUL-2023
OR128540	196617	DNA	circular	17-JUL-2023
OR128541	192614	DNA	circular	17-JUL-2023
OR094252	135967	DNA	circular	10-JUL-2023
ON844102	107531	DNA	circular	08-JUL-2023
ON844103	109012	DNA	circular	08-JUL-2023
ON844104	107529	DNA	circular	08-JUL-2023
ON844105	105301	DNA	circular	08-JUL-2023
LC761953	193083	DNA	circular	18-JAN-2024
LC761954	193090	DNA	circular	18-JAN-2024
LC761955	193083	DNA	circular	18-JAN-2024
NC_080230	182806	DNA	circular	26-JUN-2023
OP888486	157802	DNA	circular	17-JUN-2023
NC_079641	167946	DNA	circular	15-JUN-2023
NC_079642	168141	DNA	circular	15-JUN-2023
NC_079643	168279	DNA	circular	15-JUN-2023
NC_079644	168119	DNA	circular	15-JUN-2023
NC_079645	167899	DNA	circular	15-JUN-2023
NC_079646	168059	DNA	circular	15-JUN-2023
NC_079647	168117	DNA	circular	15-JUN-2023
NC_079820	130568	DNA	circular	15-JUN-2023
NC_079843	171790	DNA	circular	01-DEC-2023
OQ942923	74367	DNA	circular	12-JUN-2023
LC768901	91672	DNA	circular	23-MAY-2023
OQ784247	182806	DNA	circular	17-MAY-2023
OQ731916	171790	DNA	circular	09-NOV-2023
ON117328	130569	DNA	circular	06-MAY-2023
ON117329	130568	DNA	circular	06-MAY-2023
ON117330	130569	DNA	circular	06-MAY-2023
ON117331	130569	DNA	circular	06-MAY-2023
ON117332	130584	DNA	circular	06-MAY-2023
OQ694379	118802	DNA	circular	02-MAY-2023
OQ694380	116024	DNA	circular	02-MAY-2023
OQ694381	122210	DNA	circular	02-MAY-2023
OQ731394	167824	DNA	circular	25-APR-2023
OQ731395	167812	DNA	circular	25-APR-2023
OQ731396	167946	DNA	circular	25-APR-2023
OQ731397	168141	DNA	circular	25-APR-2023
OQ731398	168279	DNA	circular	25-APR-2023
OQ731399	167005	DNA	circular	25-APR-2023
OQ731400	168119	DNA	circular	25-APR-2023
OQ731401	167899	DNA	circular	25-APR-2023
OQ731402	168059	DNA	circular	25-APR-2023
OQ731403	168117	DNA	circular	25-APR-2023
MT385839	129273	DNA	circular	22-APR-2023
OP985129	93066	DNA	circular	17-APR-2023
OP985130	93066	DNA	circular	17-APR-2023
OP985131	93072	DNA	circular	17-APR-2023
OP985132	87172	DNA	circular	17-APR-2023
OP985133	122172	DNA	circular	17-APR-2023
OQ612619	128773	DNA	circular	16-APR-2023
NC_072900	152197	DNA	circular	04-APR-2023
NC_072901	273947	DNA	circular	04-APR-2023
NC_072902	240832	DNA	circular	04-APR-2023
NC_072903	132956	DNA	circular	04-APR-2023
NC_072904	208433	DNA	circular	04-APR-2023
NC_072905	165748	DNA	circular	04-APR-2023
NC_072923	237223	DNA	circular	04-APR-2023
NC_072924	237223	DNA	circular	04-APR-2023
NC_072969	110250	DNA	circular	04-APR-2023
NC_072616	151109	DNA	circular	16-APR-2023
NC_072617	171565	DNA	circular	03-APR-2023
NC_072618	122259	DNA	circular	16-APR-2023
NC_072630	129702	DNA	circular	03-APR-2023
NC_072659	186371	DNA	circular	03-APR-2023
NC_072660	184960	DNA	circular	03-APR-2023
OQ349515	84848	DNA	circular	20-MAR-2023
ON892539	110250	DNA	circular	19-MAR-2023
NC_072236	168452	DNA	circular	03-APR-2023
OQ159090	237223	DNA	circular	15-MAR-2023
OQ159091	237223	DNA	circular	15-MAR-2023
OQ417768	186371	DNA	circular	11-MAR-2023
OQ417769	184960	DNA	circular	11-MAR-2023
NC_071859	147974	DNA	circular	03-APR-2023
NC_071860	107929	DNA	circular	03-APR-2023
NC_071861	83748	DNA	circular	03-APR-2023
NC_071862	92487	DNA	circular	03-APR-2023
NC_071863	105412	DNA	circular	03-APR-2023
NC_071864	84299	DNA	circular	03-APR-2023
NC_071865	185621	DNA	circular	03-APR-2023
NC_071969	123552	DNA	circular	03-APR-2023
OP964512	129702	DNA	circular	08-MAR-2023
OP978508	180269	DNA	circular	08-MAR-2023
OM179746	151109	DNA	circular	07-MAR-2023
OM179747	171565	DNA	circular	07-MAR-2023
OM179751	122259	DNA	circular	07-MAR-2023
ON986218	152197	DNA	circular	06-MAR-2023
ON986219	239655	DNA	circular	06-MAR-2023
ON986220	273947	DNA	circular	06-MAR-2023
ON986221	240832	DNA	circular	06-MAR-2023
ON986222	132956	DNA	circular	06-MAR-2023
ON986223	208433	DNA	circular	06-MAR-2023
ON986224	165748	DNA	circular	06-MAR-2023
OP895676	130564	DNA	circular	01-MAR-2023
OP765320	154006	DNA	circular	01-MAR-2023
OP718169	121482	DNA	circular	20-FEB-2023
OP616811	208244	DNA	circular	06-APR-2023
OP616812	192265	DNA	circular	06-APR-2023
OP616813	166209	DNA	circular	06-APR-2023
OP616814	166213	DNA	circular	19-SEP-2023
OP616815	167117	DNA	circular	06-APR-2023
OP616816	168452	DNA	circular	06-APR-2023
OP616817	169863	DNA	circular	06-APR-2023
OP616818	167360	DNA	circular	06-APR-2023
OP616819	147984	DNA	circular	06-APR-2023
OP616820	197882	DNA	circular	06-APR-2023
OP448647	123552	DNA	circular	12-FEB-2023
OP448669	199570	DNA	circular	12-FEB-2023
OP179277	147974	DNA	circular	05-FEB-2023
OP179278	107929	DNA	circular	05-FEB-2023
OP179279	83748	DNA	circular	05-FEB-2023
OP179280	92487	DNA	circular	05-FEB-2023
OP179281	105412	DNA	circular	05-FEB-2023
OP179282	84299	DNA	circular	05-FEB-2023
OP179283	185621	DNA	circular	05-FEB-2023
NC_071183	130569	DNA	circular	03-APR-2023
NC_070142	168020	DNA	circular	03-APR-2023
NC_070143	167990	DNA	circular	03-APR-2023
NC_070144	167972	DNA	circular	03-APR-2023
NC_070145	167793	DNA	circular	03-APR-2023
NC_070146	168757	DNA	circular	03-APR-2023
NC_070147	168123	DNA	circular	03-APR-2023
NC_070148	169917	DNA	circular	03-APR-2023
NC_070408	130955	DNA	circular	03-APR-2023
NC_069609	135791	DNA	circular	03-APR-2023
NC_069610	132157	DNA	circular	03-APR-2023
NC_069611	123772	DNA	circular	03-APR-2023
NC_069636	108900	DNA	circular	03-APR-2023
OM766211	130569	DNA	circular	18-JAN-2023
OK216140	130955	DNA	circular	16-JAN-2023
ON720942	147178	DNA	circular	16-JAN-2023
LC704715	155991	DNA	circular	27-DEC-2022
LC704717	156152	DNA	circular	27-DEC-2022
OP866272	130584	DNA	circular	27-DEC-2022
OP748263	168020	DNA	circular	26-DEC-2022
OP748264	167990	DNA	circular	26-DEC-2022
OP748265	167972	DNA	circular	26-DEC-2022
OP748266	167793	DNA	circular	26-DEC-2022
OP748267	168757	DNA	circular	26-DEC-2022
OP748268	168123	DNA	circular	26-DEC-2022
OP748269	169917	DNA	circular	26-DEC-2022
ON406422	185067	DNA	circular	19-DEC-2022
NC_069042	129522	DNA	circular	03-APR-2023
NC_069043	227455	DNA	circular	03-APR-2023
ON390793	179134	DNA	circular	13-DEC-2022
ON437585	108900	DNA	circular	13-DEC-2022
OM827248	120465	DNA	circular	12-DEC-2022
OM827249	135791	DNA	circular	12-DEC-2022
OM827250	132157	DNA	circular	12-DEC-2022
OM827251	121778	DNA	circular	12-DEC-2022
OM827252	123772	DNA	circular	12-DEC-2022
NC_068582	169961	DNA	circular	03-APR-2023
NC_068622	22988	DNA	circular	03-APR-2023
NC_068623	198355	DNA	circular	03-APR-2023
NC_068624	131935	DNA	circular	03-APR-2023
ON243964	129522	DNA	circular	06-JUN-2023
ON243965	227455	DNA	circular	26-NOV-2022
ON619891	169961	DNA	circular	14-NOV-2022
NC_067581	135959	DNA	circular	03-APR-2023
NC_067582	118665	DNA	circular	03-APR-2023
NC_067583	121340	DNA	circular	03-APR-2023
NC_067776	94449	DNA	circular	03-APR-2023
NC_067777	112034	DNA	circular	03-APR-2023
NC_067848	121035	DNA	circular	03-APR-2023
NC_067951	123522	DNA	circular	03-APR-2023
NC_067952	122659	DNA	circular	03-APR-2023
NC_067953	123632	DNA	circular	03-APR-2023
NC_067954	124314	DNA	circular	03-APR-2023
NC_067955	119486	DNA	circular	03-APR-2023
NC_067956	137682	DNA	circular	03-APR-2023
NC_067957	122085	DNA	circular	03-APR-2023
NC_068256	173562	DNA	circular	03-APR-2023
OM494341	168307	DNA	circular	08-NOV-2022
OP298011	198355	DNA	circular	08-NOV-2022
OP392028	131935	DNA	circular	08-NOV-2022
OP597708	22988	DNA	circular	08-NOV-2022
OP597710	175307	DNA	circular	08-NOV-2022
OM329943	173562	DNA	circular	01-NOV-2022
CP084607	117793	DNA	circular	31-OCT-2022
OL855988	122592	DNA	circular	17-OCT-2022
OL855989	123522	DNA	circular	17-OCT-2022
OL855990	122659	DNA	circular	17-OCT-2022
OL855991	123632	DNA	circular	17-OCT-2022
OL855992	124314	DNA	circular	17-OCT-2022
OL855993	119486	DNA	circular	17-OCT-2022
OL855994	120292	DNA	circular	17-OCT-2022
OL855995	137682	DNA	circular	17-OCT-2022
OL855996	122085	DNA	circular	17-OCT-2022
OL752416	121035	DNA	circular	12-OCT-2022
OL684341	94449	DNA	circular	10-OCT-2022
OL684342	112034	DNA	circular	10-OCT-2022
NC_066970	143328	DNA	circular	12-APR-2023
NC_066971	188575	DNA	circular	12-APR-2023
NC_066976	105379	DNA	circular	13-APR-2023
NC_067041	92103	DNA	circular	13-APR-2023
NC_066651	155193	DNA	circular	12-APR-2023
NC_066823	428981	DNA	circular	18-APR-2023
OK729588	147531	DNA	circular	23-FEB-2023
OK729589	135959	DNA	circular	03-OCT-2022
OK729590	118665	DNA	circular	03-OCT-2022
OK729591	121340	DNA	circular	03-OCT-2022
OK729592	121531	DNA	circular	03-OCT-2022
OK729593	121341	DNA	circular	03-OCT-2022
OK500205	92103	DNA	circular	27-SEP-2022
OK189523	80307	DNA	circular	26-SEP-2022
OK189524	79957	DNA	circular	26-SEP-2022
OK189525	80030	DNA	circular	26-SEP-2022
OK189526	79921	DNA	circular	26-SEP-2022
OK189527	83152	DNA	circular	26-SEP-2022
