protein	Uniref90 representative	full name	descriptions	UniProt Representative link	pfam domains	pfam_links	alignment_path	n_seqs	structure_path
atpD	P51243	ATP synthase subunit delta, chloroplastic	F(1)F(0) ATP synthase produces ATP from ADP in the presence of a proton or sodium gradient. F-type ATPases consist of two structural domains, F(1) containing the extramembraneous catalytic core and F(0) containing the membrane proton channel, linked together by a central stalk and a peripheral stalk. During catalysis, ATP synthesis in the catalytic domain of F(1) is coupled via a rotary mechanism of the central stalk subunits to proton translocation This protein is part of the stalk that links CF(0) to CF(1). It either transmits conformational changes from CF(0) to CF(1) or is implicated in proton conduction	https://www.uniprot.org/uniprotkb/P51243/entry	PF00213	https://www.ebi.ac.uk/interpro/entry/pfam/PF00213	/public/downloads/atpD.fa	504.0	/public/downloads/atpD.cif
atpE	Q1XDM7	ATP synthase epsilon chain, chloroplastic	Produces ATP from ADP in the presence of a proton gradient across the membrane	https://www.uniprot.org/uniprotkb/Q1XDM7/entry	PF00401,PF02823	https://www.ebi.ac.uk/interpro/entry/pfam/PF00401,https://www.ebi.ac.uk/interpro/entry/pfam/PF02823	/public/downloads/atpE.fa	837.0	/public/downloads/atpE.cif
atpF	Q1XDP3	ATP synthase subunit b, chloroplastic	F(1)F(0) ATP synthase produces ATP from ADP in the presence of a proton or sodium gradient. F-type ATPases consist of two structural domains, F(1) containing the extramembraneous catalytic core and F(0) containing the membrane proton channel, linked together by a central stalk and a peripheral stalk. During catalysis, ATP synthesis in the catalytic domain of F(1) is coupled via a rotary mechanism of the central stalk subunits to proton translocation Component of the F(0) channel, it forms part of the peripheral stalk, linking F(1) to F(0)	https://www.uniprot.org/uniprotkb/Q1XDP3/entry	PF00430,PF05405	https://www.ebi.ac.uk/interpro/entry/pfam/PF00430,https://www.ebi.ac.uk/interpro/entry/pfam/PF05405	/public/downloads/atpF.fa	849.0	/public/downloads/atpF.cif
atpG	P51245	ATP synthase subunit b', chloroplastic	F(1)F(0) ATP synthase produces ATP from ADP in the presence of a proton or sodium gradient. F-type ATPases consist of two structural domains, F(1) containing the extramembraneous catalytic core and F(0) containing the membrane proton channel, linked together by a central stalk and a peripheral stalk. During catalysis, ATP synthesis in the catalytic domain of F(1) is coupled via a rotary mechanism of the central stalk subunits to proton translocation Component of the F(0) channel, it forms part of the peripheral stalk, linking F(1) to F(0). The b'-subunit is a diverged and duplicated form of b found in plants and photosynthetic bacteria	https://www.uniprot.org/uniprotkb/P51245/entry	PF00430	https://www.ebi.ac.uk/interpro/entry/pfam/PF00430	/public/downloads/atpG.fa	523.0	/public/downloads/atpG.cif
atpH	P51246	ATP synthase subunit c, chloroplastic	F(1)F(0) ATP synthase produces ATP from ADP in the presence of a proton or sodium gradient. F-type ATPases consist of two structural domains, F(1) containing the extramembraneous catalytic core and F(0) containing the membrane proton channel, linked together by a central stalk and a peripheral stalk. During catalysis, ATP synthesis in the catalytic domain of F(1) is coupled via a rotary mechanism of the central stalk subunits to proton translocation Key component of the F(0) channel; it plays a direct role in translocation across the membrane. A homomeric c-ring of between 10-14 subunits forms the central stalk rotor element with the F(1) delta and epsilon subunits	https://www.uniprot.org/uniprotkb/P51246/entry	PF00137	https://www.ebi.ac.uk/interpro/entry/pfam/PF00137	/public/downloads/atpH.fa	873.0	/public/downloads/atpH.cif
atpI	P51247	ATP synthase subunit a, chloroplastic	Key component of the proton channel; it plays a direct role in the translocation of protons across the membrane	https://www.uniprot.org/uniprotkb/P51247/entry	PF00119	https://www.ebi.ac.uk/interpro/entry/pfam/PF00119	/public/downloads/atpI.fa	851.0	/public/downloads/atpI.cif
bas1_ycf42	A0A6C0W2L2	Putative peroxiredoxin ycf42	Thiol-specific peroxidase that catalyzes the reduction of hydrogen peroxide and organic hydroperoxides to water and alcohols, respectively. Plays a role in cell protection against oxidative stress by detoxifying peroxides	https://www.uniprot.org/uniprotkb/A0A6C0W2L2/entry	PF00578,PF02630,PF08534,PF10417,PF13905	https://www.ebi.ac.uk/interpro/entry/pfam/PF00578,https://www.ebi.ac.uk/interpro/entry/pfam/PF02630,https://www.ebi.ac.uk/interpro/entry/pfam/PF08534,https://www.ebi.ac.uk/interpro/entry/pfam/PF10417,https://www.ebi.ac.uk/interpro/entry/pfam/PF13905	/public/downloads/bas1_ycf42.fa	383.0	/public/downloads/bas1_ycf42.cif
carA	P51201	Carbamoyl phosphate synthase small chain	Small subunit of the glutamine-dependent carbamoyl phosphate synthetase (CPSase). CPSase catalyzes the formation of carbamoyl phosphate from the ammonia moiety of glutamine, carbonate, and phosphate donated by ATP, constituting the first step of 2 biosynthetic pathways, one leading to arginine and/or urea and the other to pyrimidine nucleotides. The small subunit (glutamine amidotransferase) binds and cleaves glutamine to supply the large subunit with the substrate ammonia	https://www.uniprot.org/uniprotkb/P51201/entry	PF00117,PF00988,PF01965,PF07722	https://www.ebi.ac.uk/interpro/entry/pfam/PF00117,https://www.ebi.ac.uk/interpro/entry/pfam/PF00988,https://www.ebi.ac.uk/interpro/entry/pfam/PF01965,https://www.ebi.ac.uk/interpro/entry/pfam/PF07722	/public/downloads/carA.fa	260.0	/public/downloads/carA.cif
cbbX	A0A023HR97	Protein CfxQ homolog	Necessary for the expression of RuBisCO	https://www.uniprot.org/uniprotkb/A0A023HR97/entry	PF00004,PF00158,PF00493,PF00580,PF00910,PF01078,PF01637,PF01695,PF02374,PF03266,PF04851,PF05496,PF05673,PF05707,PF07088,PF07724,PF07728,PF08433,PF09848,PF13173,PF13191,PF13207,PF13238,PF13245,PF13401,PF13521,PF13604	https://www.ebi.ac.uk/interpro/entry/pfam/PF00004,https://www.ebi.ac.uk/interpro/entry/pfam/PF00158,https://www.ebi.ac.uk/interpro/entry/pfam/PF00493,https://www.ebi.ac.uk/interpro/entry/pfam/PF00580,https://www.ebi.ac.uk/interpro/entry/pfam/PF00910,https://www.ebi.ac.uk/interpro/entry/pfam/PF01078,https://www.ebi.ac.uk/interpro/entry/pfam/PF01637,https://www.ebi.ac.uk/interpro/entry/pfam/PF01695,https://www.ebi.ac.uk/interpro/entry/pfam/PF02374,https://www.ebi.ac.uk/interpro/entry/pfam/PF03266,https://www.ebi.ac.uk/interpro/entry/pfam/PF04851,https://www.ebi.ac.uk/interpro/entry/pfam/PF05496,https://www.ebi.ac.uk/interpro/entry/pfam/PF05673,https://www.ebi.ac.uk/interpro/entry/pfam/PF05707,https://www.ebi.ac.uk/interpro/entry/pfam/PF07088,https://www.ebi.ac.uk/interpro/entry/pfam/PF07724,https://www.ebi.ac.uk/interpro/entry/pfam/PF07728,https://www.ebi.ac.uk/interpro/entry/pfam/PF08433,https://www.ebi.ac.uk/interpro/entry/pfam/PF09848,https://www.ebi.ac.uk/interpro/entry/pfam/PF13173,https://www.ebi.ac.uk/interpro/entry/pfam/PF13191,https://www.ebi.ac.uk/interpro/entry/pfam/PF13207,https://www.ebi.ac.uk/interpro/entry/pfam/PF13238,https://www.ebi.ac.uk/interpro/entry/pfam/PF13245,https://www.ebi.ac.uk/interpro/entry/pfam/PF13401,https://www.ebi.ac.uk/interpro/entry/pfam/PF13521,https://www.ebi.ac.uk/interpro/entry/pfam/PF13604	/public/downloads/cbbX.fa	515.0	/public/downloads/cbbX.cif
ccs1	P51363	Cytochrome c biogenesis protein Ccs1	Required during biogenesis of c-type cytochromes (cytochrome c6 and cytochrome f) at the step of heme attachment	https://www.uniprot.org/uniprotkb/P51363/entry	PF05140	https://www.ebi.ac.uk/interpro/entry/pfam/PF05140	/public/downloads/ccs1.fa	553.0	/public/downloads/ccs1.cif
ccsA	Q1XDB8	Cytochrome c biogenesis protein CcsA	Required during biogenesis of c-type cytochromes (cytochrome c6 and cytochrome f) at the step of heme attachment	https://www.uniprot.org/uniprotkb/Q1XDB8/entry	PF01578	https://www.ebi.ac.uk/interpro/entry/pfam/PF01578	/public/downloads/ccsA.fa	832.0	/public/downloads/ccsA.cif
cemA	Q1XDQ5	Potassium/proton antiporter CemA	Contributes to K(+)/H(+) antiport activity by supporting proton efflux to control proton extrusion and homeostasis in chloroplasts in a light-dependent manner to modulate photosynthesis. Prevents excessive induction of non-photochemical quenching (NPQ) under continuous-light conditions. Indirectly promotes efficient inorganic carbon uptake into chloroplasts	https://www.uniprot.org/uniprotkb/Q1XDQ5/entry	PF03040	https://www.ebi.ac.uk/interpro/entry/pfam/PF03040	/public/downloads/cemA.fa	544.0	/public/downloads/cemA.cif
chlB	P51278	Light-independent protochlorophyllide reductase subunit B	Component of the dark-operative protochlorophyllide reductase (DPOR) that uses Mg-ATP and reduced ferredoxin to reduce ring D of protochlorophyllide (Pchlide) to form chlorophyllide a (Chlide). This reaction is light-independent. The NB-protein (ChlN-ChlB) is the catalytic component of the complex	https://www.uniprot.org/uniprotkb/P51278/entry	PF00148,PF08369	https://www.ebi.ac.uk/interpro/entry/pfam/PF00148,https://www.ebi.ac.uk/interpro/entry/pfam/PF08369	/public/downloads/chlB.fa	406.0	/public/downloads/chlB.cif
chlI	P51394	Magnesium-chelatase subunit ChlI	Involved in chlorophyll biosynthesis; introduces a magnesium ion into protoporphyrin IX to yield Mg-protoporphyrin IX	https://www.uniprot.org/uniprotkb/P51394/entry	PF00004,PF00158,PF00493,PF01078,PF05673,PF07726,PF07728,PF13191,PF13401,PF13555	https://www.ebi.ac.uk/interpro/entry/pfam/PF00004,https://www.ebi.ac.uk/interpro/entry/pfam/PF00158,https://www.ebi.ac.uk/interpro/entry/pfam/PF00493,https://www.ebi.ac.uk/interpro/entry/pfam/PF01078,https://www.ebi.ac.uk/interpro/entry/pfam/PF05673,https://www.ebi.ac.uk/interpro/entry/pfam/PF07726,https://www.ebi.ac.uk/interpro/entry/pfam/PF07728,https://www.ebi.ac.uk/interpro/entry/pfam/PF13191,https://www.ebi.ac.uk/interpro/entry/pfam/PF13401,https://www.ebi.ac.uk/interpro/entry/pfam/PF13555	/public/downloads/chlI.fa	738.0	/public/downloads/chlI.cif
chlL	Q1XDV0	Light-independent protochlorophyllide reductase iron-sulfur ATP-binding protein	Component of the dark-operative protochlorophyllide reductase (DPOR) that uses Mg-ATP and reduced ferredoxin to reduce ring D of protochlorophyllide (Pchlide) to form chlorophyllide a (Chlide). This reaction is light-independent. The L component serves as a unique electron donor to the NB-component of the complex, and binds Mg-ATP	https://www.uniprot.org/uniprotkb/Q1XDV0/entry	PF00142,PF01656,PF02374,PF03308,PF09140,PF10609,PF13479,PF13500,PF13614	https://www.ebi.ac.uk/interpro/entry/pfam/PF00142,https://www.ebi.ac.uk/interpro/entry/pfam/PF01656,https://www.ebi.ac.uk/interpro/entry/pfam/PF02374,https://www.ebi.ac.uk/interpro/entry/pfam/PF03308,https://www.ebi.ac.uk/interpro/entry/pfam/PF09140,https://www.ebi.ac.uk/interpro/entry/pfam/PF10609,https://www.ebi.ac.uk/interpro/entry/pfam/PF13479,https://www.ebi.ac.uk/interpro/entry/pfam/PF13500,https://www.ebi.ac.uk/interpro/entry/pfam/PF13614	/public/downloads/chlL.fa	419.0	/public/downloads/chlL.cif
chlN	P51188	Light-independent protochlorophyllide reductase subunit N	Component of the dark-operative protochlorophyllide reductase (DPOR) that uses Mg-ATP and reduced ferredoxin to reduce ring D of protochlorophyllide (Pchlide) to form chlorophyllide a (Chlide). This reaction is light-independent. The NB-protein (ChlN-ChlB) is the catalytic component of the complex	https://www.uniprot.org/uniprotkb/P51188/entry	PF00148	https://www.ebi.ac.uk/interpro/entry/pfam/PF00148	/public/downloads/chlN.fa	421.0	/public/downloads/chlN.cif
clpC	P51332	ATP-dependent Clp protease ATP-binding subunit ClpA homolog	May interact with a ClpP-like protease involved in degradation of denatured proteins in the chloroplast	https://www.uniprot.org/uniprotkb/P51332/entry	PF00004,PF00158,PF00437,PF00910,PF01078,PF01637,PF01695,PF02367,PF02861,PF03193,PF03266,PF04851,PF05272,PF05496,PF05621,PF05673,PF06414,PF07724,PF07726,PF07728,PF08477,PF10431,PF13173,PF13177,PF13191,PF13238,PF13401	https://www.ebi.ac.uk/interpro/entry/pfam/PF00004,https://www.ebi.ac.uk/interpro/entry/pfam/PF00158,https://www.ebi.ac.uk/interpro/entry/pfam/PF00437,https://www.ebi.ac.uk/interpro/entry/pfam/PF00910,https://www.ebi.ac.uk/interpro/entry/pfam/PF01078,https://www.ebi.ac.uk/interpro/entry/pfam/PF01637,https://www.ebi.ac.uk/interpro/entry/pfam/PF01695,https://www.ebi.ac.uk/interpro/entry/pfam/PF02367,https://www.ebi.ac.uk/interpro/entry/pfam/PF02861,https://www.ebi.ac.uk/interpro/entry/pfam/PF03193,https://www.ebi.ac.uk/interpro/entry/pfam/PF03266,https://www.ebi.ac.uk/interpro/entry/pfam/PF04851,https://www.ebi.ac.uk/interpro/entry/pfam/PF05272,https://www.ebi.ac.uk/interpro/entry/pfam/PF05496,https://www.ebi.ac.uk/interpro/entry/pfam/PF05621,https://www.ebi.ac.uk/interpro/entry/pfam/PF05673,https://www.ebi.ac.uk/interpro/entry/pfam/PF06414,https://www.ebi.ac.uk/interpro/entry/pfam/PF07724,https://www.ebi.ac.uk/interpro/entry/pfam/PF07726,https://www.ebi.ac.uk/interpro/entry/pfam/PF07728,https://www.ebi.ac.uk/interpro/entry/pfam/PF08477,https://www.ebi.ac.uk/interpro/entry/pfam/PF10431,https://www.ebi.ac.uk/interpro/entry/pfam/PF13173,https://www.ebi.ac.uk/interpro/entry/pfam/PF13177,https://www.ebi.ac.uk/interpro/entry/pfam/PF13191,https://www.ebi.ac.uk/interpro/entry/pfam/PF13238,https://www.ebi.ac.uk/interpro/entry/pfam/PF13401	/public/downloads/clpC.fa	564.0	/public/downloads/clpC.cif
clpP	P56317	ATP-dependent Clp protease proteolytic subunit	Cleaves peptides in various proteins in a process that requires ATP hydrolysis. Has a chymotrypsin-like activity. Plays a major role in the degradation of misfolded proteins	https://www.uniprot.org/uniprotkb/P56317/entry	PF00574	https://www.ebi.ac.uk/interpro/entry/pfam/PF00574	/public/downloads/clpP.fa	321.0	/public/downloads/clpP.cif
cobA	O19889	Uroporphyrinogen-III C-methyltransferase	Catalyzes the two successive C-2 and C-7 methylation reactions involved in the conversion of uroporphyrinogen III to precorrin-2 via the intermediate formation of precorrin-1. It is a step in the biosynthesis of both cobalamin (vitamin B12) and siroheme	https://www.uniprot.org/uniprotkb/O19889/entry	PF00590	https://www.ebi.ac.uk/interpro/entry/pfam/PF00590	/public/downloads/cobA.fa	12.0	/public/downloads/cobA.cif
cpcA	Q0ZHI5	C-phycocyanin alpha chain	Light-harvesting photosynthetic bile pigment-protein from the phycobiliprotein complex (phycobilisome, PBS). Phycocyanin is the major phycobiliprotein in the PBS rod.	https://www.uniprot.org/uniprotkb/Q0ZHI5/entry	PF00502	https://www.ebi.ac.uk/interpro/entry/pfam/PF00502	/public/downloads/cpcA.fa	267.0	/public/downloads/cpcA.cif
cpcG	Q1XDC2	Phycobilisome rod-core linker polypeptide cpcG	Rod-core linker protein required for attachment of phycocyanin to allophycocyanin in cores of phycobilisomes Linker polypeptides determine the state of aggregation and the location of the disk-shaped phycobiliprotein units within the phycobilisome and modulate their spectroscopic properties in order to mediate a directed and optimal energy transfer	https://www.uniprot.org/uniprotkb/Q1XDC2/entry	PF00427	https://www.ebi.ac.uk/interpro/entry/pfam/PF00427	/public/downloads/cpcG.fa	262.0	/public/downloads/cpcG.cif
cpeA	O49843	R-phycoerythrin alpha chain	Light-harvesting photosynthetic bile pigment-protein from the phycobiliprotein complex.	https://www.uniprot.org/uniprotkb/O49843/entry	PF00502	https://www.ebi.ac.uk/interpro/entry/pfam/PF00502	/public/downloads/cpeA.fa	244.0	/public/downloads/cpeA.cif
cpeB	O36004	R-phycoerythrin beta chain	Light-harvesting photosynthetic tetrapyrrole chromophore-protein from the phycobiliprotein complex.	https://www.uniprot.org/uniprotkb/O36004/entry	PF00502	https://www.ebi.ac.uk/interpro/entry/pfam/PF00502	/public/downloads/cpeB.fa	545.0	/public/downloads/cpeB.cif
cysT	Q9TKU8	Probable sulfate transport system permease protein cysT	Part of the ABC transporter complex cysAWTP (TC 3.A.1.6.1) involved in sulfate/thiosulfate import. Probably responsible for the translocation of the substrate across the membrane (By similarity)	https://www.uniprot.org/uniprotkb/Q9TKU8/entry	PF00528	https://www.ebi.ac.uk/interpro/entry/pfam/PF00528	/public/downloads/cysT.fa	145.0	/public/downloads/cysT.cif
desA	P20388	sn-1 oleoyl-lipid 12-desaturase	Desaturase involved in fatty acid biosynthesis (PubMed:2118597). Introduces a double bond at carbon 12 of oleoyl groups (18:1) attached to the sn-1 position of the glycerol moiety of membrane glycerolipids (PubMed:20377689, PubMed:2118597). This enzyme is involved in chilling tolerance because the phase transition temperature of lipids of cellular membranes depends on the degree of unsaturation of fatty acids of the membrane lipids (PubMed:20377689, PubMed:2118597).	https://www.uniprot.org/uniprotkb/P20388/entry	PF00487	https://www.ebi.ac.uk/interpro/entry/pfam/PF00487	/public/downloads/desA.fa	13.0	/public/downloads/desA.cif
dnaB	P51333	Probable replicative DNA helicase	A replicative DNA helicase, it participates in initiation and elongation during chromosome replication. Travels ahead of the DNA replisome, separating dsDNA into templates for DNA synthesis. A processive ATP-dependent 5'-3' DNA helicase it has DNA-dependent ATPase activity The intein is an endonuclease	https://www.uniprot.org/uniprotkb/P51333/entry	PF00772,PF01695,PF03796,PF06068,PF06745,PF13481	https://www.ebi.ac.uk/interpro/entry/pfam/PF00772,https://www.ebi.ac.uk/interpro/entry/pfam/PF01695,https://www.ebi.ac.uk/interpro/entry/pfam/PF03796,https://www.ebi.ac.uk/interpro/entry/pfam/PF06068,https://www.ebi.ac.uk/interpro/entry/pfam/PF06745,https://www.ebi.ac.uk/interpro/entry/pfam/PF13481	/public/downloads/dnaB.fa	455.0	/public/downloads/dnaB.cif
dnaK	P69376	Chaperone protein dnaK	Acts as a chaperone	https://www.uniprot.org/uniprotkb/P69376/entry	PF00012,PF02782,PF06723,PF11104,PF14450	https://www.ebi.ac.uk/interpro/entry/pfam/PF00012,https://www.ebi.ac.uk/interpro/entry/pfam/PF02782,https://www.ebi.ac.uk/interpro/entry/pfam/PF06723,https://www.ebi.ac.uk/interpro/entry/pfam/PF11104,https://www.ebi.ac.uk/interpro/entry/pfam/PF14450	/public/downloads/dnaK.fa	530.0	/public/downloads/dnaK.cif
dsbD	A0A1Z1M9G1	Thiol:disulfide interchange protein DsbD		https://www.uniprot.org/uniprotkb/A0A1Z1M9G1/entry	PF02683	https://www.ebi.ac.uk/interpro/entry/pfam/PF02683	/public/downloads/dsbD.fa	225.0	/public/downloads/dsbD.cif
fabH	P51196	Beta-ketoacyl-[acyl-carrier-protein] synthase III	Catalyzes the condensation reaction of fatty acid synthesis by the addition to an acyl acceptor of two carbons from malonyl-ACP. Catalyzes the first condensation reaction which initiates fatty acid synthesis and may therefore play a role in governing the total rate of fatty acid production. Possesses both acetoacetyl-ACP synthase and acetyl transacylase activities. Its substrate specificity determines the biosynthesis of branched-chain and/or straight-chain of fatty acids	https://www.uniprot.org/uniprotkb/P51196/entry	PF00195,PF02797,PF08541,PF08545	https://www.ebi.ac.uk/interpro/entry/pfam/PF00195,https://www.ebi.ac.uk/interpro/entry/pfam/PF02797,https://www.ebi.ac.uk/interpro/entry/pfam/PF08541,https://www.ebi.ac.uk/interpro/entry/pfam/PF08545	/public/downloads/fabH.fa	238.0	/public/downloads/fabH.cif
ftrB	P51386	Ferredoxin-thioredoxin reductase, catalytic chain	Catalytic subunit of the ferredoxin-thioredoxin reductase (FTR), which catalyzes the two-electron reduction of thioredoxins by the electrons provided by reduced ferredoxin	https://www.uniprot.org/uniprotkb/P51386/entry	PF02943	https://www.ebi.ac.uk/interpro/entry/pfam/PF02943	/public/downloads/ftrB.fa	336.0	/public/downloads/ftrB.cif
