rep_genome	genome	in_tree	num_in_tree	genomes_in_tree	GenBank_URL
KJ877675	KJ877675	True	1.0	KJ877675	https://www.ncbi.nlm.nih.gov/nuccore/KJ877675
KM462862	KM462862	True	1.0	KM462862	https://www.ncbi.nlm.nih.gov/nuccore/KM462862
KM462870	KM462870	True	1.0	KM462870	https://www.ncbi.nlm.nih.gov/nuccore/KM462870
KM821265	KM821265	True	1.0	KM821265	https://www.ncbi.nlm.nih.gov/nuccore/KM821265
KP686075	KP686075	True	1.0	KP686075	https://www.ncbi.nlm.nih.gov/nuccore/KP686075
KP686076	KP686076,NC_001603,X70810	True	1.0	KP686076	https://www.ncbi.nlm.nih.gov/nuccore/KP686076
KT223519	KT223519	True	1.0	KT223519	https://www.ncbi.nlm.nih.gov/nuccore/KT223519
KT428890	KT428890	True	1.0	KT428890	https://www.ncbi.nlm.nih.gov/nuccore/KT428890
KT625419	KT625419	True	1.0	KT625419	https://www.ncbi.nlm.nih.gov/nuccore/KT625419
KT716756	KT716756	True	1.0	KT716756	https://www.ncbi.nlm.nih.gov/nuccore/KT716756
KU167097	KU167097	True	1.0	KU167097	https://www.ncbi.nlm.nih.gov/nuccore/KU167097
KU979013	KU979013	True	1.0	KU979013	https://www.ncbi.nlm.nih.gov/nuccore/KU979013
KX013546	KX013546,NC_012099,FJ493499	True	1.0	NC_012099	https://www.ncbi.nlm.nih.gov/nuccore/KX013546
KX131180	KX131180	True	1.0	KX131180	https://www.ncbi.nlm.nih.gov/nuccore/KX131180
KX284710	KX284710	True	1.0	KX284710	https://www.ncbi.nlm.nih.gov/nuccore/KX284710
KX284728	KX284728	True	1.0	KX284728	https://www.ncbi.nlm.nih.gov/nuccore/KX284728
KX306821	KX306821	True	1.0	KX306821	https://www.ncbi.nlm.nih.gov/nuccore/KX306821
KX306824	KX306824	True	1.0	KX306824	https://www.ncbi.nlm.nih.gov/nuccore/KX306824
KX530454	KX530454	True	1.0	KX530454	https://www.ncbi.nlm.nih.gov/nuccore/KX530454
KX809677	KX809677,NC_037367,KY819068	True	1.0	KY819068	https://www.ncbi.nlm.nih.gov/nuccore/KX809677
KX839260	KX839260	True	1.0	KX839260	https://www.ncbi.nlm.nih.gov/nuccore/KX839260
KY347917	KY347917	True	1.0	KY347917	https://www.ncbi.nlm.nih.gov/nuccore/KY347917
KY499654	KY499654	True	1.0	KY499654	https://www.ncbi.nlm.nih.gov/nuccore/KY499654
KY613608	KY613608,KC843975,NC_023775,KC631634	True	1.0	KC843975	https://www.ncbi.nlm.nih.gov/nuccore/KY613608
KY629617	KY629617,KP271969,KJ718922,NC_015359,HQ914635	True	1.0	KY629617	https://www.ncbi.nlm.nih.gov/nuccore/KY629617
KY709207	KY709207,NC_031173,KX284718	True	1.0	KY709207	https://www.ncbi.nlm.nih.gov/nuccore/KY709207
KY856940	KY856940	True	1.0	KY856940	https://www.ncbi.nlm.nih.gov/nuccore/KY856940
LC269918	LC269918,LC269919,LC269920,LC269921,LC269922,LC269923,LC269924,NC_010772,EU168190,EU168191	True	1.0	EU168191	https://www.ncbi.nlm.nih.gov/nuccore/LC269918
LC484192	LC484192	True	1.0	LC484192	https://www.ncbi.nlm.nih.gov/nuccore/LC484192
LC484193	LC484193	True	1.0	LC484193	https://www.ncbi.nlm.nih.gov/nuccore/LC484193
LC484194	LC484194	True	1.0	LC484194	https://www.ncbi.nlm.nih.gov/nuccore/LC484194
LC523992	LC523992	True	1.0	LC523992	https://www.ncbi.nlm.nih.gov/nuccore/LC523992
LC537471	LC537471,MW845778,NC_025310,KJ958479	True	1.0	KJ958479	https://www.ncbi.nlm.nih.gov/nuccore/LC537471
LC537912	LC537912,NC_080230,OQ784247	True	1.0	LC537912	https://www.ncbi.nlm.nih.gov/nuccore/LC537912
LC564893	LC564893	True	1.0	LC564893	https://www.ncbi.nlm.nih.gov/nuccore/LC564893
LC604816	LC604816	True	1.0	LC604816	https://www.ncbi.nlm.nih.gov/nuccore/LC604816
LC648950	LC648950	True	1.0	LC648950	https://www.ncbi.nlm.nih.gov/nuccore/LC648950
LC648951	LC648951	True	1.0	LC648951	https://www.ncbi.nlm.nih.gov/nuccore/LC648951
LC648952	LC648952,LC648959	True	1.0	LC648952	https://www.ncbi.nlm.nih.gov/nuccore/LC648952
LC648953	LC648953	True	1.0	LC648953	https://www.ncbi.nlm.nih.gov/nuccore/LC648953
LC648954	LC648954,LC648961	True	1.0	LC648961	https://www.ncbi.nlm.nih.gov/nuccore/LC648954
LC648955	LC648955	True	1.0	LC648955	https://www.ncbi.nlm.nih.gov/nuccore/LC648955
LC648956	LC648956,NC_013703,GQ358203	True	1.0	NC_013703	https://www.ncbi.nlm.nih.gov/nuccore/LC648956
LC648957	LC648957	True	1.0	LC648957	https://www.ncbi.nlm.nih.gov/nuccore/LC648957
LC648958	LC648958	True	1.0	LC648958	https://www.ncbi.nlm.nih.gov/nuccore/LC648958
LC648960	LC648960	True	1.0	LC648960	https://www.ncbi.nlm.nih.gov/nuccore/LC648960
LC648962	LC648962	True	1.0	LC648962	https://www.ncbi.nlm.nih.gov/nuccore/LC648962
LC648963	LC648963	True	1.0	LC648963	https://www.ncbi.nlm.nih.gov/nuccore/LC648963
LC648964	LC648964	True	1.0	LC648964	https://www.ncbi.nlm.nih.gov/nuccore/LC648964
LC648965	LC648965	True	1.0	LC648965	https://www.ncbi.nlm.nih.gov/nuccore/LC648965
LC704715	LC704715,LC704717	False	0.0		https://www.ncbi.nlm.nih.gov/nuccore/LC704715
LC716139	LC716139	False	0.0		https://www.ncbi.nlm.nih.gov/nuccore/LC716139
LC716140	LC716140	False	0.0		https://www.ncbi.nlm.nih.gov/nuccore/LC716140
LC761953	LC761953,LC761954,LC761955	True	1.0	LC761955	https://www.ncbi.nlm.nih.gov/nuccore/LC761953
LC768901	LC768901,LN810504,NC_026795	True	1.0	LC768901	https://www.ncbi.nlm.nih.gov/nuccore/LC768901
LC781622	LC781622	True	1.0	LC781622	https://www.ncbi.nlm.nih.gov/nuccore/LC781622
LC814759	LC814759,LC814762,LC814765,LC814786,MW679509	False	0.0		https://www.ncbi.nlm.nih.gov/nuccore/LC814759
LC814774	LC814774,NC_058705,MW679511	True	1.0	NC_058705	https://www.ncbi.nlm.nih.gov/nuccore/LC814774
LC814777	LC814777,LC814768,LC814771,LC814780,LC814783,LC814789,NC_058701,NC_058702,NC_058703,NC_058704,MW679506,MW679507,MW679508,MW679510,MK372941	True	1.0	MW679507	https://www.ncbi.nlm.nih.gov/nuccore/LC814777
LC855054	LC855054	True	1.0	LC855054	https://www.ncbi.nlm.nih.gov/nuccore/LC855054
LC855055	LC855055	True	1.0	LC855055	https://www.ncbi.nlm.nih.gov/nuccore/LC855055
LC855056	LC855056,LC855059,LC855062,OR123498,MT876197,MK695880,KC517072,NC_007932,AP006715	True	1.0	KC517072	https://www.ncbi.nlm.nih.gov/nuccore/LC855056
LC855057	LC855057	True	1.0	LC855057	https://www.ncbi.nlm.nih.gov/nuccore/LC855057
LC855058	LC855058	True	1.0	LC855058	https://www.ncbi.nlm.nih.gov/nuccore/LC855058
LC855060	LC855060,NC_021189,KC464603	True	1.0	KC464603	https://www.ncbi.nlm.nih.gov/nuccore/LC855060
LC855061	LC855061	True	1.0	LC855061	https://www.ncbi.nlm.nih.gov/nuccore/LC855061
LC855063	LC855063	True	1.0	LC855063	https://www.ncbi.nlm.nih.gov/nuccore/LC855063
LN810505	LN810505,NC_026796	True	1.0	NC_026796	https://www.ncbi.nlm.nih.gov/nuccore/LN810505
LT622862	LT622862,LT622876,NC_031654	True	1.0	LT622876	https://www.ncbi.nlm.nih.gov/nuccore/LT622862
LT622863	LT622863,NC_031655	True	1.0	LT622863	https://www.ncbi.nlm.nih.gov/nuccore/LT622863
LT622864	LT622864,NC_031656	True	1.0	NC_031656	https://www.ncbi.nlm.nih.gov/nuccore/LT622864
LT622865	LT622865,NC_031657	True	1.0	NC_031657	https://www.ncbi.nlm.nih.gov/nuccore/LT622865
LT622866	LT622866,NC_031658	True	1.0	LT622866	https://www.ncbi.nlm.nih.gov/nuccore/LT622866
LT622867	LT622867,NC_031659	True	1.0	LT622867	https://www.ncbi.nlm.nih.gov/nuccore/LT622867
LT622868	LT622868,NC_031660	True	1.0	LT622868	https://www.ncbi.nlm.nih.gov/nuccore/LT622868
LT622869	LT622869,LT622877,NC_031661,NC_031667	True	1.0	LT622869	https://www.ncbi.nlm.nih.gov/nuccore/LT622869
LT622870	LT622870,NC_031662	True	1.0	NC_031662	https://www.ncbi.nlm.nih.gov/nuccore/LT622870
LT622871	LT622871	True	1.0	LT622871	https://www.ncbi.nlm.nih.gov/nuccore/LT622871
LT622872	LT622872,NC_031663	True	1.0	NC_031663	https://www.ncbi.nlm.nih.gov/nuccore/LT622872
LT622873	LT622873,NC_031664	True	1.0	NC_031664	https://www.ncbi.nlm.nih.gov/nuccore/LT622873
LT622874	LT622874,NC_031665	True	1.0	NC_031665	https://www.ncbi.nlm.nih.gov/nuccore/LT622874
LT622875	LT622875,NC_031666	True	1.0	LT622875	https://www.ncbi.nlm.nih.gov/nuccore/LT622875
LT622878	LT622878,NC_031668	True	1.0	NC_031668	https://www.ncbi.nlm.nih.gov/nuccore/LT622878
MF083688	MF083688,MF083689,MF083690,MF083691,MF083692,FJ423446,NC_005353,BK000554	True	1.0	MF083692	https://www.ncbi.nlm.nih.gov/nuccore/MF083688
MF101412	MF101412	True	1.0	MF101412	https://www.ncbi.nlm.nih.gov/nuccore/MF101412
MF101414	MF101414	True	1.0	MF101414	https://www.ncbi.nlm.nih.gov/nuccore/MF101414
MF101429	MF101429	True	1.0	MF101429	https://www.ncbi.nlm.nih.gov/nuccore/MF101429
MF101431	MF101431	True	1.0	MF101431	https://www.ncbi.nlm.nih.gov/nuccore/MF101431
MF101435	MF101435	True	1.0	MF101435	https://www.ncbi.nlm.nih.gov/nuccore/MF101435
MF101451	MF101451	True	1.0	MF101451	https://www.ncbi.nlm.nih.gov/nuccore/MF101451
MF101453	MF101453	True	1.0	MF101453	https://www.ncbi.nlm.nih.gov/nuccore/MF101453
MF101456	MF101456	True	1.0	MF101456	https://www.ncbi.nlm.nih.gov/nuccore/MF101456
MF167424	MF167424	True	1.0	MF167424	https://www.ncbi.nlm.nih.gov/nuccore/MF167424
MF276978	MF276978	True	1.0	MF276978	https://www.ncbi.nlm.nih.gov/nuccore/MF276978
MF276979	MF276979,MF276981	True	1.0	MF276979	https://www.ncbi.nlm.nih.gov/nuccore/MF276979
MF401423	MF401423,NC_023133	True	1.0	MF401423	https://www.ncbi.nlm.nih.gov/nuccore/MF401423
MG264610	MG264610	True	1.0	MG264610	https://www.ncbi.nlm.nih.gov/nuccore/MG264610
MG552671	MG552671	True	1.0	MG552671	https://www.ncbi.nlm.nih.gov/nuccore/MG552671
MG755791	MG755791	True	1.0	MG755791	https://www.ncbi.nlm.nih.gov/nuccore/MG755791
MG755795	MG755795	True	1.0	MG755795	https://www.ncbi.nlm.nih.gov/nuccore/MG755795
MG755797	MG755797	True	1.0	MG755797	https://www.ncbi.nlm.nih.gov/nuccore/MG755797
MG778533	MG778533	True	1.0	MG778533	https://www.ncbi.nlm.nih.gov/nuccore/MG778533
MH113811	MH113811,NC_014287,GU591327	True	1.0	NC_014287	https://www.ncbi.nlm.nih.gov/nuccore/MH113811
MH161344	MH161344	True	1.0	MH161344	https://www.ncbi.nlm.nih.gov/nuccore/MH161344
MH161345	MH161345	True	1.0	MH161345	https://www.ncbi.nlm.nih.gov/nuccore/MH161345
MH267732	MH267732	True	1.0	MH267732	https://www.ncbi.nlm.nih.gov/nuccore/MH267732
MH281627	MH281627	True	1.0	MH281627	https://www.ncbi.nlm.nih.gov/nuccore/MH281627
MH281629	MH281629	True	1.0	MH281629	https://www.ncbi.nlm.nih.gov/nuccore/MH281629
MH281630	MH281630	True	1.0	MH281630	https://www.ncbi.nlm.nih.gov/nuccore/MH281630
MH356727	MH356727	True	1.0	MH356727	https://www.ncbi.nlm.nih.gov/nuccore/MH356727
MH511733	MH511733	True	1.0	MH511733	https://www.ncbi.nlm.nih.gov/nuccore/MH511733
MH590838	MH590838	True	1.0	MH590838	https://www.ncbi.nlm.nih.gov/nuccore/MH590838
MH591102	MH591102	True	1.0	MH591102	https://www.ncbi.nlm.nih.gov/nuccore/MH591102
MH591113	MH591113	True	1.0	MH591113	https://www.ncbi.nlm.nih.gov/nuccore/MH591113
MH795128	MH795128	True	1.0	MH795128	https://www.ncbi.nlm.nih.gov/nuccore/MH795128
MH795129	MH795129	True	1.0	MH795129	https://www.ncbi.nlm.nih.gov/nuccore/MH795129
MH795132	MH795132	True	1.0	MH795132	https://www.ncbi.nlm.nih.gov/nuccore/MH795132
MH898669	MH898669	True	1.0	MH898669	https://www.ncbi.nlm.nih.gov/nuccore/MH898669
MK085988	MK085988,MK085990,MK085996	True	1.0	MK085996	https://www.ncbi.nlm.nih.gov/nuccore/MK085988
MK085997	MK085997	True	1.0	MK085997	https://www.ncbi.nlm.nih.gov/nuccore/MK085997
MK408749	MK408749,NC_054284,MT948112	True	1.0	MK408749	https://www.ncbi.nlm.nih.gov/nuccore/MK408749
MK641509	MK641509	True	1.0	MK641509	https://www.ncbi.nlm.nih.gov/nuccore/MK641509
MK792749	MK792749	True	1.0	MK792749	https://www.ncbi.nlm.nih.gov/nuccore/MK792749
MK792750	MK792750	True	1.0	MK792750	https://www.ncbi.nlm.nih.gov/nuccore/MK792750
MK798155	MK798155	True	1.0	MK798155	https://www.ncbi.nlm.nih.gov/nuccore/MK798155
MK895950	MK895950	True	1.0	MK895950	https://www.ncbi.nlm.nih.gov/nuccore/MK895950
MK995333	MK995333	True	1.0	MK995333	https://www.ncbi.nlm.nih.gov/nuccore/MK995333
MN102114	MN102114,NC_042250,MG778185	True	1.0	NC_042250	https://www.ncbi.nlm.nih.gov/nuccore/MN102114
MN128434	MN128434,MH983006	True	2.0	MN128434,MH983006	https://www.ncbi.nlm.nih.gov/nuccore/MN128434
MN181444	MN181444,FP102343,FP102296,NC_013498	True	1.0	FP102296	https://www.ncbi.nlm.nih.gov/nuccore/MN181444
MN240356	MN240356	True	1.0	MN240356	https://www.ncbi.nlm.nih.gov/nuccore/MN240356
MN240357	MN240357	True	1.0	MN240357	https://www.ncbi.nlm.nih.gov/nuccore/MN240357
MN240358	MN240358	True	1.0	MN240358	https://www.ncbi.nlm.nih.gov/nuccore/MN240358
MN276191	MN276191	True	1.0	MN276191	https://www.ncbi.nlm.nih.gov/nuccore/MN276191
MN649872	MN649872	True	1.0	MN649872	https://www.ncbi.nlm.nih.gov/nuccore/MN649872
MN659374	MN659374	True	1.0	MN659374	https://www.ncbi.nlm.nih.gov/nuccore/MN659374
MN699101	MN699101	True	1.0	MN699101	https://www.ncbi.nlm.nih.gov/nuccore/MN699101
MN701588	MN701588	True	1.0	MN701588	https://www.ncbi.nlm.nih.gov/nuccore/MN701588
MN701985	MN701985	True	1.0	MN701985	https://www.ncbi.nlm.nih.gov/nuccore/MN701985
MN701986	MN701986	True	1.0	MN701986	https://www.ncbi.nlm.nih.gov/nuccore/MN701986
MN701987	MN701987	True	1.0	MN701987	https://www.ncbi.nlm.nih.gov/nuccore/MN701987
MN701988	MN701988	True	1.0	MN701988	https://www.ncbi.nlm.nih.gov/nuccore/MN701988
MN701989	MN701989	True	1.0	MN701989	https://www.ncbi.nlm.nih.gov/nuccore/MN701989
MN701990	MN701990	True	1.0	MN701990	https://www.ncbi.nlm.nih.gov/nuccore/MN701990
MN701991	MN701991	False	0.0		https://www.ncbi.nlm.nih.gov/nuccore/MN701991
MN709220	MN709220,NC_037007,MG677935	True	1.0	MN709220	https://www.ncbi.nlm.nih.gov/nuccore/MN709220
MN853876	MN853876	True	1.0	MN853876	https://www.ncbi.nlm.nih.gov/nuccore/MN853876
MN894287	MN894287,KF554427	True	1.0	MN894287	https://www.ncbi.nlm.nih.gov/nuccore/MN894287
MN905507	MN905507	True	1.0	MN905507	https://www.ncbi.nlm.nih.gov/nuccore/MN905507
MN909954	MN909954,NC_031171,KX284714	True	1.0	NC_031171	https://www.ncbi.nlm.nih.gov/nuccore/MN909954
MN937452	MN937452,NC_008588,EF067920	True	1.0	MN937452	https://www.ncbi.nlm.nih.gov/nuccore/MN937452
MT040697	MT040697	True	1.0	MT040697	https://www.ncbi.nlm.nih.gov/nuccore/MT040697
MT117916	MT117916	True	1.0	MT117916	https://www.ncbi.nlm.nih.gov/nuccore/MT117916
MT117918	MT117918	False	0.0		https://www.ncbi.nlm.nih.gov/nuccore/MT117918
MT211884	MT211884,MT211885,MT211886,MT211887,NC_042901,MK598845,NC_041636,MK408748	True	1.0	MT211886	https://www.ncbi.nlm.nih.gov/nuccore/MT211884
MT271684	MT271684,MN201587,NC_039377,MG753774	True	1.0	MN201587	https://www.ncbi.nlm.nih.gov/nuccore/MT271684
MT364368	MT364368	True	1.0	MT364368	https://www.ncbi.nlm.nih.gov/nuccore/MT364368
MT364369	MT364369,NC_031510,KX507373	True	1.0	KX507373	https://www.ncbi.nlm.nih.gov/nuccore/MT364369
MT383637	MT383637,NC_008589,EF067921	True	1.0	EF067921	https://www.ncbi.nlm.nih.gov/nuccore/MT383637
MT471323	MT471323,MT471324,MT471325,MT471326,MT471327,MT471328,MT471329,MT471330,MT471331,MT471332,MT471333,MT471334,NC_021637,KC900889	True	1.0	MT471333	https://www.ncbi.nlm.nih.gov/nuccore/MT471323
MT742551	MT742551	True	1.0	MT742551	https://www.ncbi.nlm.nih.gov/nuccore/MT742551
MT872223	MT872223,MT872224,MT872225,MT872226,KJ410684,NC_022259,NC_022260,NC_022262,KC598085,KC598087,KC598089	True	2.0	MT872224,KJ410684	https://www.ncbi.nlm.nih.gov/nuccore/MT872223
MT896721	MT896721,NC_059930,MW561225	True	1.0	MT896721	https://www.ncbi.nlm.nih.gov/nuccore/MT896721
MW250871	MW250871	True	1.0	MW250871	https://www.ncbi.nlm.nih.gov/nuccore/MW250871
MW250872	MW250872	True	1.0	MW250872	https://www.ncbi.nlm.nih.gov/nuccore/MW250872
MW250873	MW250873	True	1.0	MW250873	https://www.ncbi.nlm.nih.gov/nuccore/MW250873
MW250874	MW250874,NC_011031,EU677193	True	1.0	EU677193	https://www.ncbi.nlm.nih.gov/nuccore/MW250874
MW250875	MW250875	True	1.0	MW250875	https://www.ncbi.nlm.nih.gov/nuccore/MW250875
MW323067	MW323067,NC_030358,KU646493	True	1.0	MW323067	https://www.ncbi.nlm.nih.gov/nuccore/MW323067
MW344287	MW344287,MW353781,MW548841,MT916929,NC_050739,KX595275,NC_043860,MK069584	True	1.0	NC_043860	https://www.ncbi.nlm.nih.gov/nuccore/MW344287
MW408731	MW408731,NC_042485,MK085989	True	1.0	MK085989	https://www.ncbi.nlm.nih.gov/nuccore/MW408731
MW543060	MW543060,NC_053616	True	1.0	MW543060	https://www.ncbi.nlm.nih.gov/nuccore/MW543060
MW556321	MW556321	True	1.0	MW556321	https://www.ncbi.nlm.nih.gov/nuccore/MW556321
MW592700	MW592700	True	1.0	MW592700	https://www.ncbi.nlm.nih.gov/nuccore/MW592700
MW645082	MW645082,MW645084	True	1.0	MW645084	https://www.ncbi.nlm.nih.gov/nuccore/MW645082
MW660365	MW660365,NC_053621,MW004650	True	1.0	MW660365	https://www.ncbi.nlm.nih.gov/nuccore/MW660365
MW675662	MW675662	True	1.0	MW675662	https://www.ncbi.nlm.nih.gov/nuccore/MW675662
MW675663	MW675663	True	1.0	MW675663	https://www.ncbi.nlm.nih.gov/nuccore/MW675663
MW675665	MW675665,MW675684	True	1.0	MW675684	https://www.ncbi.nlm.nih.gov/nuccore/MW675665
MW675666	MW675666	True	1.0	MW675666	https://www.ncbi.nlm.nih.gov/nuccore/MW675666
MW675667	MW675667	True	1.0	MW675667	https://www.ncbi.nlm.nih.gov/nuccore/MW675667
MW675668	MW675668	True	1.0	MW675668	https://www.ncbi.nlm.nih.gov/nuccore/MW675668
MW675669	MW675669	True	1.0	MW675669	https://www.ncbi.nlm.nih.gov/nuccore/MW675669
MW675670	MW675670	True	1.0	MW675670	https://www.ncbi.nlm.nih.gov/nuccore/MW675670
MW675673	MW675673	True	1.0	MW675673	https://www.ncbi.nlm.nih.gov/nuccore/MW675673
MW675674	MW675674	True	1.0	MW675674	https://www.ncbi.nlm.nih.gov/nuccore/MW675674
MW675675	MW675675	True	1.0	MW675675	https://www.ncbi.nlm.nih.gov/nuccore/MW675675
MW675676	MW675676	True	1.0	MW675676	https://www.ncbi.nlm.nih.gov/nuccore/MW675676
MW675677	MW675677	True	1.0	MW675677	https://www.ncbi.nlm.nih.gov/nuccore/MW675677
MW675678	MW675678	True	1.0	MW675678	https://www.ncbi.nlm.nih.gov/nuccore/MW675678
MW675679	MW675679	True	1.0	MW675679	https://www.ncbi.nlm.nih.gov/nuccore/MW675679
MW675680	MW675680	True	1.0	MW675680	https://www.ncbi.nlm.nih.gov/nuccore/MW675680
MW675681	MW675681	True	1.0	MW675681	https://www.ncbi.nlm.nih.gov/nuccore/MW675681
MW675682	MW675682	True	1.0	MW675682	https://www.ncbi.nlm.nih.gov/nuccore/MW675682
MW675683	MW675683	True	1.0	MW675683	https://www.ncbi.nlm.nih.gov/nuccore/MW675683
MW752443	MW752443,NC_025314,KJ958485	True	1.0	KJ958485	https://www.ncbi.nlm.nih.gov/nuccore/MW752443
MW810349	MW810349	True	1.0	MW810349	https://www.ncbi.nlm.nih.gov/nuccore/MW810349
MW845774	MW845774,MZ352931	True	1.0	MW845774	https://www.ncbi.nlm.nih.gov/nuccore/MW845774
MW845775	MW845775	True	1.0	MW845775	https://www.ncbi.nlm.nih.gov/nuccore/MW845775
MW845776	MW845776	True	1.0	MW845776	https://www.ncbi.nlm.nih.gov/nuccore/MW845776
MW845777	MW845777,MW845780	True	2.0	MW845777,MW845780	https://www.ncbi.nlm.nih.gov/nuccore/MW845777
MW845779	MW845779	True	1.0	MW845779	https://www.ncbi.nlm.nih.gov/nuccore/MW845779
MW853965	MW853965	True	1.0	MW853965	https://www.ncbi.nlm.nih.gov/nuccore/MW853965
MW900257	MW900257,MT920676,MT577052,MK948100,MK948102,NC_001865	True	1.0	MW900257	https://www.ncbi.nlm.nih.gov/nuccore/MW900257
MW971520	MW971520	True	1.0	MW971520	https://www.ncbi.nlm.nih.gov/nuccore/MW971520
MZ156027	MZ156027	True	1.0	MZ156027	https://www.ncbi.nlm.nih.gov/nuccore/MZ156027
MZ156028	MZ156028	True	1.0	MZ156028	https://www.ncbi.nlm.nih.gov/nuccore/MZ156028
MZ156030	MZ156030	True	1.0	MZ156030	https://www.ncbi.nlm.nih.gov/nuccore/MZ156030
MZ156039	MZ156039	True	1.0	MZ156039	https://www.ncbi.nlm.nih.gov/nuccore/MZ156039
MZ158703	MZ158703	True	1.0	MZ158703	https://www.ncbi.nlm.nih.gov/nuccore/MZ158703
MZ334625	MZ334625	False	0.0		https://www.ncbi.nlm.nih.gov/nuccore/MZ334625
MZ334626	MZ334626	False	0.0		https://www.ncbi.nlm.nih.gov/nuccore/MZ334626
MZ336050	MZ336050	False	0.0		https://www.ncbi.nlm.nih.gov/nuccore/MZ336050
MZ336051	MZ336051,MF401963,NC_029860,KT266788	True	1.0	MZ336051	https://www.ncbi.nlm.nih.gov/nuccore/MZ336051
MZ336057	MZ336057,NC_046041,MN053318	True	1.0	MZ336057	https://www.ncbi.nlm.nih.gov/nuccore/MZ336057
MZ336066	MZ336066,NC_039142,MH396012	True	1.0	MZ336066	https://www.ncbi.nlm.nih.gov/nuccore/MZ336066
MZ336067	MZ336067,NC_023785,KF861575	True	1.0	MZ336067	https://www.ncbi.nlm.nih.gov/nuccore/MZ336067
MZ336073	MZ336073,NC_031149,KX284722,NC_029644,KU179794,KP330491	True	1.0	NC_031149	https://www.ncbi.nlm.nih.gov/nuccore/MZ336073
MZ365053	MZ365053	True	1.0	MZ365053	https://www.ncbi.nlm.nih.gov/nuccore/MZ365053
MZ365054	MZ365054	True	1.0	MZ365054	https://www.ncbi.nlm.nih.gov/nuccore/MZ365054
MZ365055	MZ365055	True	1.0	MZ365055	https://www.ncbi.nlm.nih.gov/nuccore/MZ365055
MZ520768	MZ520768	True	1.0	MZ520768	https://www.ncbi.nlm.nih.gov/nuccore/MZ520768
MZ681957	MZ681957,KJ569775	True	1.0	MZ681957	https://www.ncbi.nlm.nih.gov/nuccore/MZ681957
MZ681958	MZ681958	True	1.0	MZ681958	https://www.ncbi.nlm.nih.gov/nuccore/MZ681958
MZ681962	MZ681962	True	1.0	MZ681962	https://www.ncbi.nlm.nih.gov/nuccore/MZ681962
NC_000925	NC_000925,PPU38804	False	0.0		https://www.ncbi.nlm.nih.gov/nuccore/NC_000925
NC_000926	NC_000926	True	1.0	NC_000926	https://www.ncbi.nlm.nih.gov/nuccore/NC_000926
NC_002652	NC_002652	True	1.0	NC_002652	https://www.ncbi.nlm.nih.gov/nuccore/NC_002652
NC_006137	NC_006137,AY673996	True	1.0	AY673996	https://www.ncbi.nlm.nih.gov/nuccore/NC_006137
